name,description,link_url,image_url,manufacturer_id
60″Sq Kitzi Box Pendant | 181308,"The sophisticated architecturally designed Kitzi pendant provides a pizazz that is unique, fresh and stylish. This breathtaking fixture will give your decor an extra edge with a layered solid steel structure in a complex geometric configuration featured in a Textured Black finish. A Rainstone Idalight lens reveals two 8-light faux candelabras. Handcrafted in the USA, Kitzi is ideal for illuminating grand entryways, lobbies, foyers and other residential and commercial spaces. Custom sizes, finishes and designs are available, as well as dimmable energy efficient lamping options such as LED. The pendant is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60sq-kitzi-box-pendant-181308/,https://2ndave.com/wp-content/uploads/2022/12/181308.jpg,1261
60″Sq Tavern Red Block Acrylic Flushmount | 131284,no description available.,https://2ndave.com/product/60sq-tavern-red-block-acrylic-flushmount-131284/,https://2ndave.com/wp-content/uploads/2022/12/131284.jpg,1261
60″W Aldari 12 LT Chandelier | 142301,"Combining a Grand classic look with industrial styling. This large Aldari chandelier features 12 Amber faux candlelights which provide beautiful ambient lighting from within. A sturdy geometric frame is encircled by two rugged decorative rings for a unique look. The hardware is featured in an Rusty Nail finish. The overall height ranges from 42.5 to 186 inches as the chain length can be easily adjusted in the field to accommodate your specific lighting application needs. This fixture is ideal for illuminating foyers, living spaces and a variety of other large rooms in residential and commercial settings. Custom crafted in our 180,000 square foot manufacturing facility in Yorkville, New York. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-aldari-12-lt-chandelier-142301/,https://2ndave.com/wp-content/uploads/2022/12/142301.jpg,1261
60″W Andorra 12 LT Chandelier | 148577,"Rich, handsome styling greets a distinctive sophisticated look. 12 Ivory faux candlelights are perched atop of custom tailored bobeches, which are accented with scrollwork embellished with Acanthus leaves and ball point accents for a high level of aesthetic appeal. Stunning Hand-forged Iron hardware is hand finished in an Antique Rust hue. Ideal for dining areas, lobbies and other spaces in homes, restaurants, hotels and other fine interiors, the fixture is custom crafted by highly skilled artisans in our manufacturing facility in Yorkville, New York. Custom sizes, designs, colors and dimmable energy efficient lamping options are available. The fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-andorra-12-lt-chandelier-148577/,https://2ndave.com/wp-content/uploads/2022/12/148577.jpg,1261
60″W Andorra 12 LT Chandelier | 183798,"Rich, handsome styling greets a distinctive sophisticated look. 12 Ivory faux candlelights are perched atop of custom tailored bobeches which are embellished with an Acanthus leaf and ball point accent for a high level of aesthetic appeal. Stunning Solid hardware is hand forged and hand finished in a Gilded Tobbaco hue. Ideal for hallways, foyers and other spaces in homes, restaurants, pubs, hotels and other fine interiors. The overall height ranges from 39 to 112 inches as the chain length can be easily adjusted in the field to accommodate your specific lighting needs. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Shade colors, metal finishes and fixture sizes can be customized to your needs. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-andorra-12-lt-chandelier-183798-2/,https://2ndave.com/wp-content/uploads/2022/12/183798.jpg,1261
60″W Anillo Pendant | 148857,"A modern sophisticated pendant featuring an extraordinary element of ambient light, this spectral halo creates a stunning visual effect and breathtaking drama. Supported by sturdy spacecraft cables for balance and precision, this Solar Black finished ring reveals a Contrail Mist Idalight diffuser. ‘s integral LEDs deliver dimmable, robust illumination, energy savings, minimal maintenance and long life. Custom sizes, styles and finishes are available, as well as other lamping options. This upscale Anillo 60-inch wide pendant is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-anillo-pendant-148857/,https://2ndave.com/wp-content/uploads/2022/12/148857.jpg,1261
60″W Aquagen Three Tier Chandelier | 182328,"Advanced technology meets a stunning modern aesthetic with the Aquagen Chandelier. Three steel tiers, featured in a handsome Gunmetal finish, reveal 60 Crystal Idalight Rods with an effervescent look. Integral LEDs deliver beautiful light, energy savings and long life. Handcrafted in the USA. Custom designs, finishes and sizes are available, as well as dimmable energy efficient lamping options. The chandelier is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-aquagen-three-tier-chandelier-182328/,https://2ndave.com/wp-content/uploads/2022/12/182328.jpg,1261
60″W Araneta Semi-Flushmount | 167687,"A dramatic centerpiece that will highlight any room, Araneta reveals stunning Travertine Idalight in a dome profile which is enhanced with decorative accents and hardware featured in an Oil Rubbed Bronze finish. Handcrafted in the USA, this fixture is offered in custom colors, sizes and patterns, and with dimmable LED and standard lamping options. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-araneta-semi-flushmount-167687/,https://2ndave.com/wp-content/uploads/2022/12/167687.jpg,1261
60″W Arion 24 LT Two Tier Pendant | 146669,"Created with 2 sturdy rings, the Arion Pendant beholds 24 Clear Seeded Glass Cylindres. The handsome hardware is featured in a hand-applied Nickel finish. The overall height ranges from 57 to 176 inches as the chain length can be easily adjusted in the field to accommodate your specific lighting application needs. Handcrafted by master artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Shade colors, metal finishes and fixture sizes can be customized to meet your needs. UL and cUL listed for dry, damp and wet locations.",https://2ndave.com/product/60w-arion-24-lt-two-tier-pendant-146669/,https://2ndave.com/wp-content/uploads/2022/12/146669.jpg,1261
60″W Artesia Flushmount | 180134,"Offering a stunning sophisticated look, Artesia is ideal for illumination over tables and counters in residential, retail, restaurant and commercial applications. This striking design features an Ambra Siena Idalight shade complemented with hardware featured in a Buttered Brass finish. Handcrafted by highly skilled artisans in the Yorkville, New York manufacturing facility. Custom styles, sizes and colors available. Dimmable energy efficient lamping options such as LED are available. The 60-inch wide ceiling fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-artesia-flushmount-180134/,https://2ndave.com/wp-content/uploads/2022/12/180134.jpg,1261
