name,description,link_url,image_url,manufacturer_id
36″ Wide Sanctuary Pendant | 159085,no description available.,https://2ndave.com/product/36-wide-sanctuary-pendant-159085/,https://2ndave.com/wp-content/uploads/2022/12/159085.jpg,1261
36″ Wide Sardinia Chandelier | 202518,"Like a luxurious bracelet of light. This exquisite design features luxurious Crystal to make a distinctive design statement in the finest residential, hospitality and commercial interiors. The circular frame embraces a sparkling array of stunning Clear and Gold Faceted Crystal Beads that simulate the fluid movement of water droplets. The handsome hardware and components, laser-cut with surgical precision, are featured in a stunning Transparent Gold finish. The overall height ranges from 42.75 to 221.75 inches as the chain length can be easily adjusted in the field to accommodate your specific lighting application needs. Handmade by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom styles, designs and sizes are available. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/36-wide-sardinia-chandelier-202518-2/,https://2ndave.com/wp-content/uploads/2022/12/202518.jpg,1261
36″ Wide Sergio 8 Light Chandelier | 121012,"A unique timeless look for the ages. Sergio features a Chestnut finished frame with matching hardware and beaded accents. 8 Honey Amber faux candlelights deliver beautiful ambient illumination. Handcrafted by artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom colors, sizes and fabric shades are available. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/36-wide-sergio-8-light-chandelier-121012/,https://2ndave.com/wp-content/uploads/2022/12/121012.jpg,1261
36″ Wide Serratina Chandelier | 200730,"Unsurpassed elegance, grace and beauty defined. The Serratina Pendant features a lustrous symphony of Hand-Forged Iron Scrollwork, Amber Crystal Pendalogs and a finial accent. A stunning Amber Quartz Idalight shade is complemented with hardware in an English Bronze finish. The luxurious fixture will add sophisticated sparkle and romantic charm to any room. Handcrafted in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom finishes and sizes available. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/36-wide-serratina-chandelier-200730/,https://2ndave.com/wp-content/uploads/2022/12/200730.jpg,1261
36″ Wide Seville 20 Light Chandelier | 19847,"This handsome rustic styled chandelier is leaf adorned and lighted by a ring of wax like candelabras. The fixture with chain suspension, candles and Wrought iron finish, is reminiscent of ancient times. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, NY. Custom colors, styles, and sizes available. Dimmable energy efficient lamping options offered. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/36-wide-seville-20-light-chandelier-19847/,https://2ndave.com/wp-content/uploads/2022/12/19847.jpg,1261
36″ Wide Slenderleaf 9 Light Chandelier | 115594,"Welcome an elegant luxurious look into your home or business with the stunning, voluminous Slenderleaf Chandelier, which integrates a distinctive motif with classic styling. 9 Amber faux candlelights crowned with Amber colored Textrene shades are perched atop floral bobeches which are highlighted in a stunning Pate finish. The Hand-Forged Iron chandelier completes an evocative impression with a compelling design and beautiful ambient illumination. Custom crafted in Yorkville, New York by highly skilled artisans, this Grand styled fixture is available in custom finishes, sizes and colors, as well as dimmable energy efficient lamping options such as LED. The 36-inch wide chandelier is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/36-wide-slenderleaf-9-light-chandelier-115594/,https://2ndave.com/wp-content/uploads/2022/12/115594.jpg,1261
36″ Wide Squire 6 Light Chandelier | 115286,"Elegant, classic chandeliers from Europe are the inspiration for Squire’s silhouette design, which employs scrolled steel arms and contoured supports to define its graceful profile from top to bottom and arm to arm. 6 Faux candlelights perched on saucer-like bobeches add a lovely touch to this fixture which is hand finished in a warm Chestnut hue. Handcrafted by highly skilled artisans in Upstate New York, this chandelier is available in custom sizes, styles, finishes and dimmable energy efficient lamping options such as LED. The fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/36-wide-squire-6-light-chandelier-115286/,https://2ndave.com/wp-content/uploads/2023/02/115286.jpg,1261
36″ Wide St Lawrence Chandelier | 214041,"Feel the wind in your hair, the sound of the sea beneath you and imagine the stars above after launching this breathtaking vessel of light. The St Lawrence chandelier is like a tall ship traditionally rigged with masts drawn tight by backstays. The 2 tiers and 9 Sandstorm Faux Linen handpainted shades and Oil Rubbed Bronze frame symbolize the schooner’s multiple masts, vast sails and narrow hulls. Overall height ranges from 42 to 149 inches as the chain length can be easily adjusted in the field. Handcrafted in our 180,000 square manufacturing facility in Yorkville, New York. Shade colors, metal finishes and fixtures sizes can be customized to meet your needs. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/36-wide-st-lawrence-chandelier-214041/,https://2ndave.com/wp-content/uploads/2022/12/214041.jpg,1261
36″ Wide Stella Pendant | 129621,no description available.,https://2ndave.com/product/36-wide-stella-pendant-129621/,https://2ndave.com/wp-content/uploads/2022/12/129621.jpg,1261
36″ Wide Sullivan Ranch 12 Light Chandelier | 172679,"Handsome rustic charm never looked so good. A rugged Mahogany Bronze finished ring is refined with handsome architectural lines and layered design details. 12 Ivory faux wax dripping candlelights are perched on smooth round bobeches that provide beautiful ambient illumination. Ideal for entryways, lobbies and as a stunning centerpiece for spaces in residential hospitality and commercial settings. Overall height ranges from 36 to 60 inches as the chain can be easily adjusted in the field. Domestically manufactured in our 180,000 square foot facility in Yorkville, New York. Customize candlelight colors, metal finishes and fixture sizes to suit your taste. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/36-wide-sullivan-ranch-12-light-chandelier-172679/,https://2ndave.com/wp-content/uploads/2022/12/172679.jpg,1261
36″ Wide Suri Chandelier | 119775,"An exquisite chandelier design comes to light with graceful allure and distinctive charm. 5 White Scavo Glass shades are perched on bobeches, which are embraced by a symphony of gracefully Hand-forged Iron scrollwork and floral accents in stunning Rustic Iron. Handcrafted in our facility in Yorkville, New York, this lovely fixture is available in custom sizes, styles, colors and dimmable energy efficient lamping options such as LED. The 36-inch wide chandelier is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/36-wide-suri-chandelier-119775/,https://2ndave.com/wp-content/uploads/2022/12/119775.jpg,1261
36″ Wide Trea Vanity Light | 146388,no description available.,https://2ndave.com/product/36-wide-trea-vanity-light-146388/,https://2ndave.com/wp-content/uploads/2022/12/146388.jpg,1261
36″ Wide Wallis 8 Light Chandelier | 134392,"Romantic charm and elegance come to light with the Wallis chandelier, which features 8 Amber faux candlelights perched on bobeches attached to scrolled arms. The Hand Forged Rustic Iron fixture is handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. This fixture can be customized in various sizes, metal finishes and lens colors. This chandelier is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/36-wide-wallis-8-light-chandelier-134392/,https://2ndave.com/wp-content/uploads/2022/12/134392.jpg,1261
36″ Wide Warwick 5 Light Wall Sconce | 171982,"Welcome a handsome Gothic look into your home or business with the stunning Warwick wall sconce, which integrates a distinctive motif with classic styling. Five Ivory faux candlelights, perched atop bobeches embraced on a curved backplate, provide beautiful ambient lighting. Decorated with cast iron medallions and spear tip accents in a Textured Black finish and complemented with a Costello Black, Warwick completes an evocative impression. This fixture is perfect as a vanity light for fine baths or as a wall sconce in hallways and other spaces. Handcrafted in our 180,000 square foot manufacturing facility in Yorkville, New York. Available in custom finishes, sizes and colors, as well as dimmable energy efficient lamping options. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/36-wide-warwick-5-light-wall-sconce-171982/,https://2ndave.com/wp-content/uploads/2022/12/171982.jpg,1261
