name,description,link_url,image_url,manufacturer_id
20″W Dominga Flushmount | 142723,"This stunning Dominga ceiling fixture features a Sahara Taupe Idalight shade. The striking diffuser is enhanced with a handsome frame, hardware and decorative accents featured in a Classic Rust finish. Dominga is ideal for hallways, living spaces and other rooms in residential, hospitality and commercial environments. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Lens colors, metal finishes and designs can be customized to your preference. Dimmable energy efficient lamping options are offered. The ceiling fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/20w-dominga-flushmount-142723/,https://2ndave.com/wp-content/uploads/2022/12/142723.jpg,1261
20″W Dominga Flushmount | 158232,"Inspired by the rustic elegance of ancient Greek architecture, this stunning steel ceiling fixture features an Fleshtone Idalight shade, with Gold Highlights, for a marbleized look. The fixture is enhanced with a frame, hardware and a decorative accent featured in a Corinth finish for an old world look. The fixture is ideal for hallways, living spaces and other rooms in both residential and commercial environments. The fixture is by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom sizes, styles and colors are available, as well as dimmable, energy efficient lamping options such as LED. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/20w-dominga-flushmount-158232/,https://2ndave.com/wp-content/uploads/2022/12/158232.jpg,1261
20″W Le Printemps 2 LT Wall Sconce | 167975,"The natural beauty and vibrant pulse of earthly gardens awaken with elaborate accents depicting stunning floral leaves and branches born in the woodlands. Like the soul of the forest itself, this wall sconce is an undeniable source of beauty and light. 2 Plant-like adorned arms embrace faux candlelights that sprout shimmering rays of illumination while graceful songbirds and dragonflies fly with agility among the flowers. Solid steel frame and decorative accents are hand finished in a Tuscan Ivory. Handcrafted by artisans in our 180,000 square foot manufacturing facility in Yorkville, New York, this fixture is available in custom sizes, styles, colors and dimmable energy efficient lamping options such as LED. The sconce is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/20w-le-printemps-2-lt-wall-sconce-167975/,https://2ndave.com/wp-content/uploads/2022/12/167975.jpg,1261
20″W Lineal Intersect Wall Sconce | 171922,"At the intersection of handsome aesthetics and architectural forms, this wall sconce integrates a linear styled White Textrene shade with Nickel finished hardware across a Faux Zebrawood wall plate with a slanted pocket slot accent. The geometric design deploys lighting upwards and downward using two 12-watt LED lamps are used for energy efficiency, reduced maintenance and long life. Handcrafted in the USA, this fixture is available in custom sizes, styles and colors, as well as dimmable lamping options. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/20w-lineal-intersect-wall-sconce-171922/,https://2ndave.com/wp-content/uploads/2022/12/171922.jpg,1261
20″W Nehring 2 LT Wall Sconce | 156881,"This exquisite lighting fixture highlights stunning Silver Mica shades that top luminaires perched on bobeches, which are complemented with a metal scepter, scrolled arms and medallion backplate. All solid steel accents and hardware are featured in a Costello Black finish. The wall sconce is handcrafted by skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. This sconce is available in custom colors, sizes, styles and dimmable energy efficient lamping. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/20w-nehring-2-lt-wall-sconce-156881/,https://2ndave.com/wp-content/uploads/2022/12/156881.jpg,1261
20″W Old Broadway 3 LT Wall Sconce | 107845,"This nostalgic decorative wall sconce is ideal for theaters, restaurants, homes and hotels. Offering stunning embellishments and decorative accents, this fixture features handcrafted steel hardware finished in Light Brushed Gold and complemented with Tan Linen fabric shades.Energy efficient lamping options available. Custom crafted in our Yorkville, New York manufacturing facility.",https://2ndave.com/product/20w-old-broadway-3-lt-wall-sconce-107845/,https://2ndave.com/wp-content/uploads/2023/02/107845.jpg,1261
20″W Peak 3 LT Chandelier | 157205,"Sparkling elegance and shimmering opulence come to light with a beautiful combination of crystal, candlelight and hardware in gold. Three Ivory colored faux candlelights perched on bobeches with scrolled arms embrace a circular metal frame, which is adorned with Blue Crystal droplets and Clear Crystal accents. The hardware and frame are featured in an exquisite Cortez Gold finish. Handcrafted in the USA, this fixture is available in custom sizes, styles and colors, as well as with dimmable energy efficient lamping options. The chandelier is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/20w-peak-3-lt-chandelier-157205/,https://2ndave.com/wp-content/uploads/2022/12/157205.jpg,1261
20″W Regency Pendant | 117522,"Classic elegance combined with a rich distinctive look comes to light with a stunning lantern design that will entice anyone, from the lighting novice to the experienced connoisseur of fine luminaires. The exquisite Clear Seeded Glass diffuser, designed with a six-light candelabra illuminating from within, is enhanced with a frame, scrolls, Acanthus leaf accents and hardware featured in a stunning French Bronze finish. The stately fixture is handcrafted in the USA. Custom styles, designs, colors and dimmable energy efficient lamping options such as LED are available. The 16-inch wide fixture is UL and cUL listed.",https://2ndave.com/product/20w-regency-pendant-117522/,https://2ndave.com/wp-content/uploads/2022/12/117522.jpg,1261
20″W Regency Pendant | 172965,"Classic elegance combined with a rich distinctive look comes to light with a stunning lantern design that will entice anyone, from the lighting novice to the experienced connoisseur of fine luminaires. The exquisite Clear Seeded Glass diffuser, designed with a six-light candelabra illuminating from within, is enhanced with a frame, scrolls, Acanthus leaf accents and hardware featured in a bold Blackwash finish. The fixture is handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom colors, styles and sizes are available, as well as dimmable energy efficient lamping options such as LED. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/20w-regency-pendant-172965/,https://2ndave.com/wp-content/uploads/2022/12/172965.jpg,1261
20″W Rula 5 LT Chandelier | 138719,no description available.,https://2ndave.com/product/20w-rula-5-lt-chandelier-138719/,https://2ndave.com/wp-content/uploads/2022/12/138719.jpg,1261
