name,description,link_url,image_url,manufacturer_id
14″ Wide Gateway Wall Sconce | 203426,"A handsome and unique wall luminatire that features a striking silhouette profile in a Flat Black finish to enhance and complement nearly any room setting. This stunning ADA Compliant wall sconce illuminates with Integral LEDs. The Gateway Wall Sconce is included in our American-made, American-designed, handcrafted Modern Lighting Collection. Manufactured in Yorkville, New York. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/14-wide-gateway-wall-sconce-203426/,https://2ndave.com/wp-content/uploads/2022/12/203426.jpg,1261
14″ Wide Gina Pendant | 120279,"Welcome a handsome revival look into your home or business with the stunning Gina Pendant, which integrates a distinctive motif with classic styling. 7 Amber faux candlelights are revealed inside the Clear Seeded Glass shade which is complemented with a Hand Forged Iron frame and hardware in a stunning Cajun Spice finish. The fixture completes an evocative impression with a compelling design and beautiful ambient illumination. Custom crafted in Yorkville, New York by highly skilled artisans, this fixture is available in custom finishes, sizes and colors, as well as dimmable energy efficient lamping options. The pendant is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/14-wide-gina-pendant-120279/,https://2ndave.com/wp-content/uploads/2022/12/120279.jpg,1261
14″ Wide Jocelyn Wall Sconce | 230939,"Jocelyn features a soft, elegant look for this stunning wall sconce. The curvaceous shade features an Eggshell Textrene that is enhanced with a Crystal Idalight top diffuser. Hand-forged Iron Scrollwork is complemented with Acanthus Leaf accents, all featured in a Chestnut finish. Custom made by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Shade colors, metal finishes and sconce sizes can be customized to meet your lighting needs. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/14-wide-jocelyn-wall-sconce-230939/,https://2ndave.com/wp-content/uploads/2022/12/230939.jpg,1261
14″ Wide Kenna 3 Light Wall Sconce | 131396,"Rich charm and elegance come to light with Kenna. This exquisite sconce is designed as a dramatic illuminating accent for a wall in any room in residential, hospitality and commercial environments. This enchanting fixture features three Ivory faux candlelights perched on bobeches. Exquisite Hand-Forged Iron Scrollwork is featured in a Gilded Tobacco finish. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Candlelight colors, metal finishes and fixture sizes can be customized to your needs. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/14-wide-kenna-3-light-wall-sconce-131396/,https://2ndave.com/wp-content/uploads/2022/12/131396.jpg,1261
14″ Wide Kenna 3 Light Wall Sconce | 255151,no description available.,https://2ndave.com/product/14-wide-kenna-3-light-wall-sconce-255151/,https://2ndave.com/wp-content/uploads/2023/02/255151.jpg,1261
14″ Wide Kenneth 2 Light Wall Sconce | 174332,"Rich charm and elegance come to light with Kenneth. This wall sconce is designed as a dramatic accent for a hallway, entryway or any other room. This enchanting wall fixture features two White faux candlelights perched on bobeches, with scrolled arms and accents and hardware featured in a Smoke finish. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Metal finishes, designs and sizes can be customized to your needs. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/14-wide-kenneth-2-light-wall-sconce-174332/,https://2ndave.com/wp-content/uploads/2022/12/174332.jpg,1261
14″ Wide Kitzi Box Pendant | 230638,"This modern, architecturally styled fixture is designed with a pizazz that is unique, fresh and stylish. Give your decor an extra edge with this innovative fixture featuring a Clear Glass Lens within a larger solid box frame. Suspended inside the cage are four lamps. The elaborate frame and hardware are finished in an Oil Rubbed Bronze. Handcrafted in our 180,000 square foot manufacturing facility in Yorkville, New York. Diffuser colors, metal finishes and fixture sizes can be customized to your needs.",https://2ndave.com/product/14-wide-kitzi-box-pendant-230638/,https://2ndave.com/wp-content/uploads/2022/12/230638.jpg,1261
14″ Wide Laguna 2 Light Wall Sconce | 118127,"Designed with bold geometric styling, the Laguna Wall Sconce provides the perfect lighting design to illuminate and enhance the beauty of transitional and contemporary settings. Two Statuario Idalight cube shaped diffusers are enhanced with hardware featured in a Buttered Brass finish. The fixture is ideal for illuminating walls in hallways and other rooms in commercial and residential settings. Custom crafted in the USA, this 32-inch tall fixture is available in custom sizes, styles, colors and lamping options such as LED. This handsome wall fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/14-wide-laguna-2-light-wall-sconce-118127/,https://2ndave.com/wp-content/uploads/2022/12/118127.jpg,1261
14″ Wide Louisa 2 Light Wall Sconce | 241821,"Gothic revival combined with a Fleur-de-lis inspired motif. Romantic elegance is captured with Timeless Bronze finished accents and frame. The ornate hardware is enhanced with Natural Textrene Shades that crown Ivory faux candlelights perched on complementary bobeches. The Louisa Wall Sconce is featured in our American made, American designed handcrafted Contemporary Revival Lighting Collection. Manufactured in Yorkville, New York. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/14-wide-louisa-2-light-wall-sconce-241821/,https://2ndave.com/wp-content/uploads/2022/12/241821.jpg,1261
14″ Wide Louisa Wall Sconce | 134881,no description available.,https://2ndave.com/product/14-wide-louisa-wall-sconce-134881/,https://2ndave.com/wp-content/uploads/2022/12/134881.jpg,1261
14″ Wide Lys Wall Sconce | 117647,"Curvaceous styling and vibrant coloring brings POP into your room with the stunning Lys Wall Sconce. A Cherry Textrene wraparound shade crowns this twin-post frame with a round backplate, both shown in a bold Blackwash finish. Handcrafted by talented artisans in our Yorkville, NY manufacturing facility, the wall fixture is ADA Compliant for public spaces. Custom options include special sizes, designs and colors, as well as dimmable energy efficient lamping options such as LED. The sconce, which is over 14 inches wide and 16 inches tall, is UL and cUL listed for dry and damp locations however we do not recommend installing it in spaces that experience a large amount of moisture.",https://2ndave.com/product/14-wide-lys-wall-sconce-117647/,https://2ndave.com/wp-content/uploads/2022/12/117647.jpg,1261
14″ Wide Millesime Lantern Pendant | 128711,"Custom crafted of Solid Copper and Brass, Grand stature and exquisite metalwork are combined to create a sophisticated, luxurious look for Millesime. This high-styled wall fixture features Clear Seeded glass, which is enhanced with Solid Brass hardware complemented with a distinctive combination of Vintage Copper and Verdi Brass finishes. A faux candlelight provides ambient illumination from within the lantern. Handmade in our 180,000 manufacturing facility in the USA. Custom options available. UL and cUL listed for dry, damp and wet locations.",https://2ndave.com/product/14-wide-millesime-lantern-pendant-128711/,https://2ndave.com/wp-content/uploads/2022/12/128711.jpg,1261
14″ Wide Millesime Lantern Wall Sconce | 139836,"Grand stature and ornate Solid Vintage Copper metalwork create a sophisticated, luxurious look for Millesime. This high-styled wall fixture features Clear Glass, which is enhanced with distinctive scrollwork and backplate in a stunning Craftsman Brown finish. A single faux candlelight in a matching metal finish illuminates the lantern from within. This sconce is ideal to complement a variety of architectural styles for today’s fine exteriors and interiors, including hallways, entryways and other spaces in homes, restaurants, hotels and other commercial settings. Custom crafted in the USA, this fixture is offered in custom sizes, finishes and styles, and energy efficient lamping. UL and cUL listed for dry, damp and wet locations.",https://2ndave.com/product/14-wide-millesime-lantern-wall-sconce-139836/,https://2ndave.com/wp-content/uploads/2022/12/139836.jpg,1261
14″ Wide Millesime Lantern Wall Sconce | 237295,no description available.,https://2ndave.com/product/14-wide-millesime-lantern-wall-sconce-237295/,https://2ndave.com/wp-content/uploads/2022/12/237295.jpg,1261
14″ Wide Millesime Pier Mount | 244548,no description available.,https://2ndave.com/product/14-wide-millesime-pier-mount-244548/,https://2ndave.com/wp-content/uploads/2022/12/244548.jpg,1261
14″ Wide Octavia 2 Light Wall Sconce | 202978,"Add graceful details and soft ambient illumination to any interior decor with this elegant lighting design. Two faux candlelights crowned with Off-white Textrene shades are perched on round bobeches. The shades are embraced by an elegant frame with curved arms in a Brown Metallic powder coat finish. Handcrafted in our 180,000 square foot manufacturing facility in the USA. This Hand-forged Iron sconce is available in custom colors, sizes and finishes. UL and cUL listed for dry and damp locations, however we do not recommend installing it in spaces that experience a large amount of moisture due to the fabric shades.",https://2ndave.com/product/14-wide-octavia-2-light-wall-sconce-202978/,https://2ndave.com/wp-content/uploads/2022/12/202978.jpg,1261
14″ Wide Octavia Wall Sconce | 222730,"Add graceful detail and beautiful robust illumination to any interior decor with this elegant and elaborate Octavia lighting design. Five Statuario Idalight Cylindres are mounted on bobehes on a wall plate featured in a Solar Black finish. This exquisite ADA Wall Fixture is perfect for creating a welcoming environment in any commercial, residential or hospitality space. Handcrafted in our 180,000 square foot manufacturing facility in Yorkville, New York. Diffuser styles, metal finishes and fixture sizes can be customized to your needs. UL & cUL listed for dry and damp locations.",https://2ndave.com/product/14-wide-octavia-wall-sconce-222730/,https://2ndave.com/wp-content/uploads/2022/12/222730.jpg,1261
14″ Wide Olivia 2 Light Wall Sconce | 116313,"A rich exquisite look is defined by the Olivia Wall Sconce. Two graceful faux candlelights with Amber candle covers adorn bobeches with ornate, scroll-like hardware featured in a stunning Pewter hand-applied finish. This fixture is custom crafted by our artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom lighting fixtures are offered with multiple candlelights as well, and in a variety of finishes, styles and energy efficient lamping options such as LED. UL and cUL listed for dry and damp locations however we do not recommend installing it in spaces that experience a large amount of moisture due to the fabric shade.",https://2ndave.com/product/14-wide-olivia-2-light-wall-sconce-116313/,https://2ndave.com/wp-content/uploads/2022/12/116313.jpg,1261
14″ Wide Olivia 2 Light Wall Sconce | 194344,"A rich exquisite look is defined by the Olivia Wall Sconce. Two graceful faux candlelights with Amber candle covers crowned with Black Textrene shades adorn bobeches with ornate, scroll-like hardware featured in a stunning Pewter hand-applied finish.? This fixture is custom crafted by our artisans in the USA. Custom lighting fixtures are offered with multiple candlelights as well, and in a variety of finishes, styles and energy efficient lamping options such as LED. The nearly 14-inch wide wall sconce is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/14-wide-olivia-2-light-wall-sconce-194344/,https://2ndave.com/wp-content/uploads/2022/12/194344.jpg,1261
14″ Wide Plaza Lantern Wall Sconce | 146468,"Ornate Hand-forged metalwork combined with soft ambient illumination create a rich, luxurious look for this Plaza wall sconce. This high-styled wall fixture features Clear Seeded Glass and is enhanced with a scroll design and decorative accents in a Smoke finish. This classic styled sconce is ideal to complement a variety of architectural styles for today’s exteriors and interiors. Custom crafted in the USA, this fixture is offered in custom sizes, finishes and styles, as well as dimmable energy efficient lamping options such as LED. The 42-inch tall sconce is UL and cUL listed for dry, damp and wet locations.",https://2ndave.com/product/14-wide-plaza-lantern-wall-sconce-146468/,https://2ndave.com/wp-content/uploads/2022/12/146468.jpg,1261
14″ Wide Rachelle 2 Light Wall Sconce | 137119,"Luxurious elegance is evoked with impressive Hand-forged Iron scrollwork and acanthus Leaf accents in a Flora finish that adorn this wondrous wall sconce. Two White faux candlelights illuminate beautifully while perched on round bobeches with ballpoints embraced by curved arms. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, NY. Candlelight colors, metal finishes and fixture sizes can be customized to your needs. UL and cUL listed for dry and damp locations",https://2ndave.com/product/14-wide-rachelle-2-light-wall-sconce-137119/,https://2ndave.com/wp-content/uploads/2022/12/137119.jpg,1261
14″ Wide Regency Pendant | 228623,The material is Steel and Glass. The finish is Golden Bronze. The glass is Clear Seeded.,https://2ndave.com/product/14-wide-regency-pendant-228623/,https://2ndave.com/wp-content/uploads/2022/12/228623.jpg,1261
14″ Wide Sagebrush 3 Light Chandelier | 115176,"Custom crafted for the King or Queen in your castle, Sagebrush presents a touch of warm opulence blended with handsome rustic styling. This chandelier offers an extraordinary transitional style as sparkling illumination evokes from 3 stunning Amber faux candlelights that adorn the perimeter of this Solid Steel ring with floral and scroll accents in a Blackwash finish. This fixture will make a design statement as a centerpiece in any room including an entryway, dining room, lobby, conference room and other locations. Handcrafted by highly skilled artisans in the USA, this fixture is available in custom sizes, styles, colors and dimmable energy efficient lamping options including LED. Sagebrush is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/14-wide-sagebrush-3-light-chandelier-115176/,https://2ndave.com/wp-content/uploads/2022/12/115176.jpg,1261
14″ Wide Samuel 2 Light Wall Sconce | 204028,The material is Steel. The finish is Coffee Bean.,https://2ndave.com/product/14-wide-samuel-2-light-wall-sconce-204028/,https://2ndave.com/wp-content/uploads/2022/12/204028.jpg,1261
14″ Wide Samuel 2 LT Wall Sconce | 116295,"Enjoy the rich time-honored look of Samuel, an exquisite wall sconce which reveals classic styling and superior handcrafted construction. The shapely fixture features two Ivory faux candlelights which is complemented with a frame, scroll arm and hardware offered in an Antiquity finish. The wall sconce is available in custom colors, designs, sizes and dimmable energy efficient lamping options such as LED. The 22-inch tall fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/14-wide-samuel-2-lt-wall-sconce-116295/,https://2ndave.com/wp-content/uploads/2022/12/116295.jpg,1261
14″ Wide San Simone 2 Light Wall Sconce | 115592,"A rich, refined twist on a classic elegant lighting design. This exquisite wall sconce features a Gilded Tobacco finished frame with 2 Faux Amber candlelights perched on bobeches with ballpoint stems. A sumptuous fixture, topped with a distinctive Fleur-de-lis and inspired by the great chateaus of France, this fixture is handcrafted by highly skilled artisans in our manufacturing facility in Upstate New York, this exquisite sconce is available in a wide range of custom choices including various designs, colors, sizes and dimmable energy efficient lamping options such as LED. The 14-inch wide fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/14-wide-san-simone-2-light-wall-sconce-115592/,https://2ndave.com/wp-content/uploads/2022/12/115592.jpg,1261
