name,description,link_url,image_url
Moon Series Post Top,"The moon series has the high-performance solution for the most demanding applications within a unique design. With different precision refractive optical lens and an easy-install design, it can be used in many applications such as pedestrian street, factory, schools, garden, courtyard, hotel, parking lot, public parks etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/MoonSeriesPostTop.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Moon Series Post Top With Wattstopper Motion Sensor,"The moon series has the high-performance solution for the most demanding applications within a unique design. With different precision refractive optical lens and an easy-install design, it can be used in many applications such as pedestrian street, factory, schools, garden, courtyard, hotel, parking lot, public parks etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/MoonSeriesPostTopWithMotionSensor.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Moon Series Post Top With 7 Pin Receptacle,"The moon series has the high-performance solution for the most demanding applications within a unique design. With different precision refractive optical lens and an easy-install design, it can be used in many applications such as pedestrian street, factory, schools, garden, courtyard, hotel, parking lot, public parks etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/MoonSeriesPostTopWith7Pin.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Moon Series Post Top With 480V Photocell,"The moon series has the high-performance solution for the most demanding applications within a unique design. With different precision refractive optical lens and an easy-install design, it can be used in many applications such as pedestrian street, factory, schools, garden, courtyard, hotel, parking lot, public parks etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/MoonSeriesPostTopWith480VPhotocell.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Moon Series Post Top With Photocell,"The moon series has the high-performance solution for the most demanding applications within a unique design. With different precision refractive optical lens and an easy-install design, it can be used in many applications such as pedestrian street, factory, schools, garden, courtyard, hotel, parking lot, public parks etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/MoonSeriesPostTopWithPhotocell.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Pavilion Post Top,"The pavilion LED post top comes in traditional lantern look with an expected service life of 50,000 hours, high efficiency and an easy-install design. As a decorative luminaire, the traditional style is in harmony with the architectural and environmental area lighting applications such as pedestrian street, parks, gardens, courtyard etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/PAVILIONLEDPOSTTOP.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Pavilion Post Top With Photocell,"The pavilion LED post top comes in traditional lantern look with an expected service life of 50,000 hours, high efficiency and an easy-install design. As a decorative luminaire, the traditional style is in harmony with the architectural and environmental area lighting applications such as pedestrian street, parks, gardens, courtyard etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/PAVILIONLEDPOSTTOPWITHPHOTOCELL.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Eunike GEN2 LED Luminarie,"The Eunike GEN2 LED Luminarie brings architectural style to any area or site, impacting pedestrian-scale for improved comfort and security. Support the most popular mounting type such as single arm, twins arm, post top and side entry. Various precise optical lenses available. Tool-less maintenance and easy-toinstall design. #designer #post top #achitectural #Eunike #LED #Mounting #arm # side entry # twin arm #precise optical lens",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/EunikeGEN2LEDLuminarie.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Eunike GEN2 LED Luminarie- Single Arm,"The Eunike GEN2 LED Luminarie brings architectural style to any area or site, impacting pedestrian-scale for improved comfort and security. Support the most popular mounting type such as single arm, twins arm, post top and side entry. Various precise optical lenses available. Tool-less maintenance and easy-toinstall design.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/EunikeGEN2LEDLuminarie-SingleArm.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Eunike LED Post Top,"The Eunike LED Post Top brings architectural style to any area or site, impacting pedestrian-scale for improved comfort and security. It’s sleek single arm design brings a desired organic look into the urban environment. The Eunike optic provides glare-free illumination, with effective coverage on its available distribution patterns.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/EUNIKELEDPostTop.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Cone LED Post Top,"The Cone LED Post Top is supplied with a cast aluminum roof which includes optimized heat sinks, maximizing the life and performance of the LED light sources. Optical design, greatly improves the light efficiency and uniformity. It can be widely used for outdoor lighting applications such as landscape, courtyards, roadways.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/ConeLEDPostTop.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Versatile Post Top VPT,"The VERSATILE series has the high-performance solution for the most demanding applications with an universal body and different shades. It can be used in many applications such as pedestrian street, factory, schools, garden, courtyard, hotel, parking lot, public parks etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/TheVersatileLEDPostTop.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Versatile Post Top VPTA,"The VERSATILE series has the high-performance solution for the most demanding applications with an universal body and different shades. It can be used in many applications such as pedestrian street, factory, schools, garden, courtyard, hotel, parking lot, public parks etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/TheVersatileLEDPostTopVPTA.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Versatile Post Top VPTB,"The VERSATILE series has the high-performance solution for the most demanding applications with an universal body and different shades. It can be used in many applications such as pedestrian street, factory, schools, garden, courtyard, hotel, parking lot, public parks etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/TheVersatileLEDPostTopVPTB.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Versatile LED Post Top VPTP,"The VERSATILE series has the high-performance solution for the most demanding applications with an universal body and different shades. It can be used in many applications such as pedestrian street, factory, schools, garden, courtyard, hotel, parking lot, public parks etc.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDMOONSERIESPOSTTOP/TheVersatileLEDPostTopVPTP.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Eunike LED Bollard with Photocontrol,"An Innovative bollard light which enhances the aesthetics of any space, the Eunike LED Bollard has photocontrol as a standard feature and is available in 20"" and 43"" pole heights. This bollard is an excellent choice for a wide variety of applications such as walkways, entrances, promenades, plazas, bridges, and landscaped areas.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/EunikeLEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Selectable Cone LED Bollard,"The Selectable Cone led bollard comes in 18.7″ and 42″ height. An innovative bollard light which enhances the aesthetic and creative of city unique and gorgeous appearance. CCT and Wattage selectable. This bollard is an excellent choice for walkways, entrances, promenades, plazas, courtyards, driveways, bridges, and landscaped areas.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/SelectableConeLEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
CHESS LED Bollard,"The contemporary CHESS led bollard has flexible light distribution for both pathway lighting and discrete facade illumination. This bollard has UV powder coated die cast high quality aluminum body, tempered safety glass, moulded silicone gasket and stainless steel screws. This bollard is an excellent choice for walkways, entrances, promenades, plazas, courtyards, driveways, bridges, and landscaped areas.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/CHESSLEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
MACK LED Bollard--Strong Base,"The MACK led bollard comes in simple and modern rectilinear design. Fully shielded design used to control unwanted light in residential areas. This bollard has UV powder coated die cast high quality aluminum body, tempered safety glass, moulded silicone gasket and stainless steel screws. This bollard is an excellent choice for walkways, entrances, promenades, plazas, courtyards, driveways, bridges, and landscaped areas.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/MACKLEDBollard--StrongBase.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
MACK LED Bollard--Large Base,"The MACK led bollard comes in simple and modern rectilinear design. This bollard has UV powder coated die cast high quality aluminum body, tempered safety glass, moulded silicone gasket and stainless steel screws. This bollard is an excellent choice for walkways, entrances, promenades, plazas, courtyards, driveways, bridges, and landscaped areas.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/MACKLEDBollard--LargeBase.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
MACK LED Bollard--Small Base,"The MACK led bollard comes in simple and modern rectilinear design. This bollard has UV powder coated die cast high quality aluminum body, tempered safety glass, moulded silicone gasket and stainless steel screws. This bollard is an excellent choice for walkways, entrances, promenades, plazas, courtyards, driveways, bridges, and landscaped areas.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/MACKLEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Cone LED Bollard,"The Cone led bollard has a round appearance for good decorative effect, sized in 3.5ft height. Optical design, greatly improves the light efficiency and uniformity. Efficiency is higher than 115 lm/W. This bollard is an excellent choice for walkways, entrances, promenades, plazas, courtyards, driveways, bridges, and landscaped areas.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/ConeLEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Versatile Series LED Bollard,"The Versatile Series round bollard features a simple and sleek design. It offers symmetric and asymmetric distributions in 20″ and 35″ heights . House side sh ield is available. This bollard is an excellent choice for walkways, entrances, promenades, plazas, courtyards, driveways, bridges, and landscaped areas.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/VersatileSeriesLEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Louvers Round LED Bollard,"The Louvers round bollard features stacked louver and a rounded, cylindrical design. It offers dome and flat tops in 32″ and 42″ heights. This bollard is an excell ent choice for walkways, entrances, promenades, plazas, courtyards, driveways, bridges, and landscaped areas.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/LOUVERSROUNDLEDBOLLARD.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Selectable Square LED Bollard,"The Square LED bollard comes in diffused polycarbonate lens and offers symmetric distributions to deliver even, energy efficient illumination. Injection die-cast aluminum body, durable finish and long -lasting LEDs will provide years of maintenance-free service. It’s ideal for urban lighting applications, including landscapes, bike lanes, pedestrian paths, plazas, collector roads, and more.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/SELECTABLESQUARELEDBOLLARD.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Selectable Standard LED Bollard,"The Selectable Standard LED Bollard is designed with a modern cylindrical shape with dome, flat, and peak tops available. This LED Bollard is constructed with a high-quality extrusion aluminum body and a clear polycarbonate lens, and selectable CCT and wattage is standard. This Bollard is ideal for parks, lawns, plazas, and residential applications.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/SELECTABLESTANDARDLEDBOLLARD.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Standard Bollards,"The Standard LED Bollard is designed with a modern cylindrical shape with dome, flat, and peak tops available. This LED Bollard is constructed with a high-quality extrusion aluminum body and a clear polycarbonate lens This Bollard is ideal for parks, lawns, plazas, and residential applications.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/StandardLEDBollards.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Pillar Square LED Bollard,,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/PillarSquareLEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Pillar Round LED Bollard,,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/PillarRoundLEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
BLOCK LED Bollard,,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/BLOCKLEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
MIKI LED Bollard,,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/MIKILEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Venus LED Bollard- Singel Head,,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/VenusLEDBollard-SingelHead.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Venus LED Bollard- Twins Heads,,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/VenusLEDBollard-TwinsHeads.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Moon Series LED Bollard,,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDBOLLARDS/MoonSeriesLEDBollard.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
OFM Ceiling Light (Square),"TheOFM Ceiling Light comes in round and square shapes. Body and bracket in die-cast aluminum. Powder coated with pretreatment plus silicon rubber gasket for outdoor use. Simple and elegant appearance is ideal for general illumination for residential and commercial applications such as porches, covered walkways and store entrances.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/OutdoorFlushMountLightSquare.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
OFM Ceiling Light (Round),"The OFM Ceiling Light comes in round and square shapes. Body and bracket in die-cast aluminum. Powder coated with pretreatment plus silicon rubber gasket for outdoor use. Simple and elegant appearance is ideal for general illumination for residential and commercial applications such as porches, covered walkways and store entrances.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/OutdoorFlushMountLight.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Poulynoe Large LED Wall Light,The Poulynoe step and wall light is designed in an architecture round shape and full cut-off design. It combines aluminium structure and polycarbonate lens in one integral beautiful streamlined shape. Suitable for both indoor and outdoor wall and step light application.,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/PoulynoeLarge.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Poulynoe LED Wall Light,The Poulynoe wall light is designed in an architecture round shape and full cut-off design. It combines aluminium structure and glass lens in one integral beautiful streamlined shape. Suitable for both indoor and outdoor wall light application.,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/PoulynoeLedWallLight.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Thoe LED Wall Light,The Thoe wall light is designed in an architecture minimalist cuboid shape. It combines die-cast aluminium structure and glass lens in one integral shape. Direct and indirect distributions. Suitable for both indoor and outdoor wall light applications.,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/ThoeWallLight.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Galene Cylinder Wall Light,The Galene Wall Light is designed in a round or square shape with durable powder coat paint. It combines aluminum structure with a tempered glass diffuser radiating light upward and downward against the wall where installed.,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/GeleneCylinderWallLight.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Galene Square Wall Light,The Galene Wall Light is designed in a round or square shape with durable powder coat paint. It combines aluminum structure with a tempered glass diffuser radiating light upward and downward against the wall where installed.,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/GeleneSquareWallLight.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Selectable Trumpet LED Wall Light,"The SelectableTrumpet LED Wall Light is ideal for lighting up signs and facades. Die casting aluminum gaskets enclosure, lasting appearance and excellent heat dissipation. Swivel Knuckle can make adjustable angle. Wattage and CCT selectable.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/SelectableTrumpetLEDWallLight.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Solid Step And Wall Light,"The Solid LED step and wall light with a traditional cutoff design offers best vertical illuminations. This versatile luminaire is ideal for replacing existing MH step light and wall light. Applications: Security, pathway and perimeter lighting buildings, entryways and walkways.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/SOLIDLEDStepAndWallLight.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
TR Security Light,"The TR LED Security Light is ideal for security entrances, stairways, and storage areas . Featuring a twist on the classic form, the TR Series offers a unique appearance and is powered by advanced LEDs . The TR Series is powerful yet energy efficient, capable of replacing up to a 100W MH wall pack while saving energy costs. Integrated Photocell is preinstalled for more efficient operation and energy savings.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/LED-TR-Security-Light.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Cylinder LED Wall Light,The Cylinder wall light is designed in a cylinder shape with durable powder coat paint. It combines aluminium structure with a tempered glass diffuser radiating light downward against the wall where installed.,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/CylinderLedWallLightDownLight.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Eudora LED Wall Light,"The Eudora wall light offers a sleek, clean profile. It combines aluminum construction with clean lines, right angles, and a glass shade. It is designed for indoor/outdoor wall mount applications.",https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/Eudorawalllight.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
Vertical Mini LED Step Light,3W LED step/wall lights are available in a vertical configuration for mounting into a Junction box. For poured concrete and masonry installations.For indoor and protected outdoor use.,https://www.abovealllighting.com/product/LED-OUT-DOOR-FIXTURES/LEDWallLight/VerticalMiniLEDStepLight.html,https://www.abovealllighting.com/Uploads/202301/MPT500x500.png
