name,description,link_url,image_url,unique_id,manufacturer_id
Alta 18 Inch Orb Pendant,"The Alta Collection is made of many crystal bars carefully arranged to make a perfect sphere crystal diffuser. Inside the Chrome frame, a light sputnik cluster adds an inner layer. The Alta is a great centerpiece in any room.",https://www.allegricrystal.com/product/alta-18-inch-orb-pendant,https://www.allegricrystal.com/wp-content/uploads/2022/12/037255_010_FR001-600x600.jpg,037255-010-FR001,1251
Alta 26 Inch Orb Pendant,"The Alta Collection is made of many crystal bars carefully arranged to make a perfect sphere crystal diffuser. Inside the Chrome frame, a light sputnik cluster adds an inner layer. The Alta is a great centerpiece in any room.",https://www.allegricrystal.com/product/alta-26-inch-orb-pendant,https://www.allegricrystal.com/wp-content/uploads/2022/12/037256_010_FR001-1-600x600.jpg,037256-010-FR001,1251
Alta 3 Orb Multi Drop Foyer (18″+18″+18″),"The Alta Collection is made of many crystal bars carefully arranged to make a perfect sphere crystal diffuser. Inside the Chrome frame, a light sputnik cluster adds an inner layer. The Alta is a great centerpiece in any room.",https://www.allegricrystal.com/product/alta-3-orb-multi-drop-foyer-181818,https://www.allegricrystal.com/wp-content/uploads/2022/12/037254_010_FR001-600x600.jpg,037251-010-FR001,1251
Alta 3 Orb Multi Drop Foyer (18″+18″+26″),"The Alta Collection is made of many crystal bars carefully arranged to make a perfect sphere crystal diffuser. Inside the Chrome frame, a light sputnik cluster adds an inner layer. The Alta is a great centerpiece in any room.",https://www.allegricrystal.com/product/alta-3-orb-multi-drop-foyer-181826,https://www.allegricrystal.com/wp-content/uploads/2022/12/037254_010_FR001-600x600.jpg,037254-010-FR001,1251
Alta 3 Orb Multi Drop Foyer (18″+26″+26″),"The Alta Collection is made of many crystal bars carefully arranged to make a perfect sphere crystal diffuser. Inside the Chrome frame, a light sputnik cluster adds an inner layer. The Alta is a great centerpiece in any room.",https://www.allegricrystal.com/product/alta-3-orb-multi-drop-foyer-182626,https://www.allegricrystal.com/wp-content/uploads/2022/12/037254_010_FR001-600x600.jpg,037253-010-FR001,1251
Alta 3 Orb Multi Drop Foyer (18+26+36),"The Alta Collection is made of many crystal bars carefully arranged to make a perfect sphere crystal diffuser. Inside the Chrome frame, a light sputnik cluster adds an inner layer. The Alta is a great centerpiece in any room.",https://www.allegricrystal.com/product/alta-3-orb-multi-drop-foyer-182636,https://www.allegricrystal.com/wp-content/uploads/2023/06/037249-010-FR001-600x600.jpg,037249-010-FR001,1251
Alta 3 Orb Multi Drop Foyer (26″+26″+26″),"The Alta Collection is made of many crystal bars carefully arranged to make a perfect sphere crystal diffuser. Inside the Chrome frame, a light sputnik cluster adds an inner layer. The Alta is a great centerpiece in any room.",https://www.allegricrystal.com/product/alta-3-orb-multi-drop-foyer-262626,https://www.allegricrystal.com/wp-content/uploads/2022/12/037254_010_FR001-600x600.jpg,037252-010-FR001,1251
Alta 3 Orb Multi Drop Foyer (26+26+36),"The Alta Collection is made of many crystal bars carefully arranged to make a perfect sphere crystal diffuser. Inside the Chrome frame, a light sputnik cluster adds an inner layer. The Alta is a great centerpiece in any room.",https://www.allegricrystal.com/product/alta-3-orb-multi-drop-foyer-262636,https://www.allegricrystal.com/wp-content/uploads/2023/06/037250-010-FR001-1-600x600.jpg,037250-010-FR001,1251
Alta 36 Inch Orb Pendant,"The Alta Collection is made of many crystal bars carefully arranged to make a perfect sphere crystal diffuser. Inside the Chrome frame, a light sputnik cluster adds an inner layer. The Alta is a great centerpiece in any room.",https://www.allegricrystal.com/product/alta-36-inch-orb-pendant,https://www.allegricrystal.com/wp-content/uploads/2022/12/037257_010_FR001-600x600.jpg,037257-010-FR001,1251
Angelo 14″ Pendant Light,Spiky Firenze Crystal Sputnik center highlights this modern open orb shape including a simple single jeweled band.,https://www.allegricrystal.com/product/angelo-14-pendant,https://www.allegricrystal.com/wp-content/uploads/2022/12/033610_014_FR001-1-600x600.jpg,033610-014-FR001,1251
Angelo 23” Pendant Matte Black,The Angelo collection features a spiky Firenze crystal sputnik center highlighting a modern open orb shape and includes a simple single jewelled band.,https://www.allegricrystal.com/product/angelo-23-inch-pendant-matte-black,https://www.allegricrystal.com/wp-content/uploads/2023/05/033650_050_FR001-600x600.jpg,033650-050-FR001,1251
Angelo 23” Pendant Silver,The Angelo collection features a spiky Firenze crystal sputnik center highlighting a modern open orb shape and includes a simple single jewelled band.,https://www.allegricrystal.com/product/angelo-23-inch-pendant-silver,https://www.allegricrystal.com/wp-content/uploads/2023/05/033650_014_FR001-600x600.jpg,033650-014-FR001,1251
