name,description,link_url,image_url,manufacturer_id
8675772 | 32″ Wide Tess Semi-Flushmount,"CCL Part Number:
8675772",https://customcontractlighting.com/product/8675772-32-wide-tess-semi-flushmount-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/154196-600x600.jpg,2521
8677891 | 55″ Wide ClubHouse 2 LT Pendant,"CCL Part Number:
8677891",https://customcontractlighting.com/product/8677891-55-wide-clubhouse-2-lt-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/154167-600x600.jpg,2521
8677890 | 42″ Long ClubHouse Oblong Pendant,"CCL Part Number:
8677890",https://customcontractlighting.com/product/8677890-42-long-clubhouse-oblong-pendant/,no description available.,2521
8677889 | 84″ Wide Heather Drum Pendant,"CCL Part Number:
8677889",https://customcontractlighting.com/product/8677889-84-wide-heather-drum-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/154156-600x600.jpg,2521
8677888 | 60″ Long ClubHouse Oblong Pendant,"CCL Part Number:
8677888",https://customcontractlighting.com/product/8677888-60-long-clubhouse-oblong-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/154149-600x600.jpg,2521
8675770 | 5″ Wide Winery Mini Pendant,"CCL Part Number:
8675770",https://customcontractlighting.com/product/8675770-5-wide-winery-mini-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/154121-600x600.jpg,2521
8677885 | 6″W Metropolitan Wall Sconce,"CCL Part Number:
8677885",https://customcontractlighting.com/product/8677885-6w-metropolitan-wall-sconce/,no description available.,2521
8677884 | 36″ Wide Cask Barrel Madera 8 Light Chandelier,"CCL Part Number:
8677884",https://customcontractlighting.com/product/8677884-36-wide-cask-barrel-madera-8-light-chandelier/,https://customcontractlighting.com/wp-content/uploads/2020/09/154052-600x600.jpg,2521
8675769 | 34″ Wide Vance 5 LT Chandelier,"CCL Part Number:
8675769",https://customcontractlighting.com/product/8675769-34-wide-vance-5-lt-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/154028-600x600.jpg,2521
8675349 | 9″ Wide Handkerchief Suited Mini Pendant,"CCL Part Number:
8675349",https://customcontractlighting.com/product/8675349-9-wide-handkerchief-suited-mini-pendant-2/,no description available.,2521
8675768 | 10″ Wide Paddington Wall Sconce,"CCL Part Number:
8675768",https://customcontractlighting.com/product/8675768-10-wide-paddington-wall-sconce/,no description available.,2521
8677879 | 48″ Wide Simple Drum 2 Tier Textrene Pendant,"CCL Part Number:
8677879",https://customcontractlighting.com/product/8677879-48-wide-simple-drum-2-tier-textrene-pendant-2/,no description available.,2521
8675765 | 19″ Wide Roberts Flushmount,"CCL Part Number:
8675765",https://customcontractlighting.com/product/8675765-19-wide-roberts-flushmount/,https://customcontractlighting.com/wp-content/uploads/2020/09/153386-600x600.jpg,2521
8675764 | 18″ Wide Cosmopolitan Semi-Flushmount,"CCL Part Number:
8675764",https://customcontractlighting.com/product/8675764-18-wide-cosmopolitan-semi-flushmount-2/,no description available.,2521
8675763 | 7.5″W Wade Wall Sconce,"CCL Part Number:
8675763",https://customcontractlighting.com/product/8675763-7-5w-wade-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/153359-600x600.jpg,2521
8677874 | 7.5″W Zale Wall Sconce,"CCL Part Number:
8677874",https://customcontractlighting.com/product/8677874-7-5w-zale-wall-sconce/,no description available.,2521
8675762 | 42″ Wide Grunge Drum Pendant,"CCL Part Number:
8675762",https://customcontractlighting.com/product/8675762-42-wide-grunge-drum-pendant-2/,no description available.,2521
8677872 | 34″ Wide Tapered Drum Pendant,"CCL Part Number:
8677872",https://customcontractlighting.com/product/8677872-34-wide-tapered-drum-pendant-2/,no description available.,2521
8677870 | 14.5″W Orson Wall Sconce,"CCL Part Number:
8677870",https://customcontractlighting.com/product/8677870-14-5w-orson-wall-sconce/,no description available.,2521
8677869 | 60″ Wide Cake 4 Tier Pendant,"CCL Part Number:
8677869",https://customcontractlighting.com/product/8677869-60-wide-cake-4-tier-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/153330-600x600.jpg,2521
8677868 | 24″ Wide Wood Drum Pendant,"CCL Part Number:
8677868",https://customcontractlighting.com/product/8677868-24-wide-wood-drum-pendant-2/,no description available.,2521
8675760 | 38″ Wide Spy Tower 16 Light Pendant,"CCL Part Number:
8675760",https://customcontractlighting.com/product/8675760-38-wide-spy-tower-16-light-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/153278-600x600.jpg,2521
8677867 | 24″ Wide FineMesh 9 LT Pendant,"CCL Part Number:
8677867",https://customcontractlighting.com/product/8677867-24-wide-finemesh-9-lt-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/153276-600x600.jpg,2521
8677866 | 36″ Wide FineMesh 15 LT Pendant,"CCL Part Number:
8677866",https://customcontractlighting.com/product/8677866-36-wide-finemesh-15-lt-pendant-2/,no description available.,2521
8677864 | 15″ Wide Papermoon Lantern Pendant,"CCL Part Number:
8677864",https://customcontractlighting.com/product/8677864-15-wide-papermoon-lantern-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/153156-600x600.jpg,2521
8677863 | 14″ Wide Papermoon Lantern Pendant,"CCL Part Number:
8677863",https://customcontractlighting.com/product/8677863-14-wide-papermoon-lantern-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/153155-600x600.jpg,2521
8675758 | 72″ Wide Simple Drum Pendant,"CCL Part Number:
8675758",https://customcontractlighting.com/product/8675758-72-wide-simple-drum-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/153133-600x600.jpg,2521
8677860 | 24″ Long Hailsworth Oblong Pendant,"CCL Part Number:
8677860",https://customcontractlighting.com/product/8677860-24-long-hailsworth-oblong-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/153028-600x600.jpg,2521
8677857 | 84″ Wide Saturn Rings LED Cascading Pendant,"CCL Part Number:
8677857",https://customcontractlighting.com/product/8677857-84-wide-saturn-rings-led-cascading-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/152822-600x600.jpg,2521
8677856 | 30″ Wide Spade Drum Pendant,"CCL Part Number:
8677856",https://customcontractlighting.com/product/8677856-30-wide-spade-drum-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/152811-600x600.jpg,2521
8675755 | 84″ Wide Saturn Rings LED Cascading Pendant,"CCL Part Number:
8675755",https://customcontractlighting.com/product/8675755-84-wide-saturn-rings-led-cascading-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/152804-600x600.jpg,2521
8677855 | 29″ Wide Interlock 6 Light Chandelier,"CCL Part Number:
8677855",https://customcontractlighting.com/product/8677855-29-wide-interlock-6-light-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/152738-600x600.jpg,2521
8677852 | 54″ Wide Chicago Drum Pendant,"CCL Part Number:
8677852",https://customcontractlighting.com/product/8677852-54-wide-chicago-drum-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/152581-600x600.jpg,2521
8675749 | 52″ Wide Tapered Arron Drum Pendant,"CCL Part Number:
8675749",https://customcontractlighting.com/product/8675749-52-wide-tapered-arron-drum-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/152532-600x600.jpg,2521
8675748 | 52″ Wide Tapered Arron Drum Pendant,"CCL Part Number:
8675748",https://customcontractlighting.com/product/8675748-52-wide-tapered-arron-drum-pendant/,no description available.,2521
8677851 | 42″ Wide Tapered Arron Drum Pendant,"CCL Part Number:
8677851",https://customcontractlighting.com/product/8677851-42-wide-tapered-arron-drum-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/152530-600x600.jpg,2521
