name,description,link_url,image_url,manufacturer_id
8676076 | 16″ Square Geometric ClubHouse Pendant,"CCL Part Number:
8676076",https://customcontractlighting.com/product/8676076-16-square-geometric-clubhouse-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/179889-600x600.jpg,2521
8678363 | 6.5″W Whitelinen Wall Sconce,"CCL Part Number:
8678363",https://customcontractlighting.com/product/8678363-6-5w-whitelinen-wall-sconce/,no description available.,2521
8675947 | 52″ Long LinearLumina 8 Light Oblong Chandelier,"CCL Part Number:
8675947",https://customcontractlighting.com/product/8675947-52-long-linearlumina-8-light-oblong-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/170139-600x600.jpg,2521
8678170 | 14″W Setauket Wall Sconce,"CCL Part Number:
8678170",https://customcontractlighting.com/product/8678170-14w-setauket-wall-sconce/,no description available.,2521
8678009 | 18″ Wide Lobby Drum Semi-Flushmount,"CCL Part Number:
8678009",https://customcontractlighting.com/product/8678009-18-wide-lobby-drum-semi-flushmount-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/161333-600x600.jpg,2521
8677956 | 36″ Wide PotterRing 12 LT Semi-Flushmount,"CCL Part Number:
8677956",https://customcontractlighting.com/product/8677956-36-wide-potterring-12-lt-semi-flushmount/,https://customcontractlighting.com/wp-content/uploads/2020/09/157813-600x600.jpg,2521
8677790 | 13″W Obispo George 2 LT Island Wall Sconce,"CCL Part Number:
8677790",https://customcontractlighting.com/product/8677790-13w-obispo-george-2-lt-island-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/150905-600x600.jpg,2521
8677594 | 18″ Wide Santana Pendant,"CCL Part Number:
8677594",https://customcontractlighting.com/product/8677594-18-wide-santana-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/144925-600x600.jpg,2521
8677340 | 72″ Wide Plataforma 14 LT Oblong Chandelier,"CCL Part Number:
8677340",https://customcontractlighting.com/product/8677340-72-wide-plataforma-14-lt-oblong-chandelier/,https://customcontractlighting.com/wp-content/uploads/2020/09/135930-600x600.jpg,2521
8677216 | 8.25″ Wide Vance Pendant,"CCL Part Number:
8677216",https://customcontractlighting.com/product/8677216-8-25-wide-vance-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/130187-600x600.jpg,2521
