name,description,link_url,image_url,manufacturer_id
8678350 | 36-450″ Wide String Legs 12 LT Pendant,"CCL Part Number:
8678350",https://customcontractlighting.com/product/8678350-36-450-wide-string-legs-12-lt-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/177271-600x600.jpg,2521
8677698 | 54″ Wide Damien Inverted Pendant,"CCL Part Number:
8677698",https://customcontractlighting.com/product/8677698-54-wide-damien-inverted-pendant-2/,no description available.,2521
8677679 | 14″ Wide Georgette 3 Light Wall Sconce,"CCL Part Number:
8677679",https://customcontractlighting.com/product/8677679-14-wide-georgette-3-light-wall-sconce-2/,no description available.,2521
8678729 | 3.25″ Wide Spirits Mini Pendant,"CCL Part Number:
8678729",https://customcontractlighting.com/product/8678729-3-25-wide-spirits-mini-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/193436-600x600.jpg,2521
8679218 | 16″ Wide Zahar Wall Sconce,"CCL Part Number:
8679218",https://customcontractlighting.com/product/8679218-16-wide-zahar-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/220821-600x600.jpg,2521
8676440 | 35″ Wide Orbs Pendant,"CCL Part Number:
8676440",https://customcontractlighting.com/product/8676440-35-wide-orbs-pendant/,no description available.,2521
8678834 | 72″ Long Paris Pendant,"CCL Part Number:
8678834",https://customcontractlighting.com/product/8678834-72-long-paris-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/197764-600x600.jpg,2521
8676229 | 7.5″ Wide Spotz Mini Pendant,"CCL Part Number:
8676229",https://customcontractlighting.com/product/8676229-7-5-wide-spotz-mini-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/192174-600x600.jpg,2521
8678569 | 18″ Wide Glam Pendant,"CCL Part Number:
8678569",https://customcontractlighting.com/product/8678569-18-wide-glam-pendant/,no description available.,2521
8678564 | 19″ Wide Radcliff Pendant,"CCL Part Number:
8678564",https://customcontractlighting.com/product/8678564-19-wide-radcliff-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/186286-600x600.jpg,2521
8678311 | 22″ Wide Kerbonn Semi-Flushmount,"CCL Part Number:
8678311",https://customcontractlighting.com/product/8678311-22-wide-kerbonn-semi-flushmount/,no description available.,2521
8677990 | 48″W Alistair Wall Sconce,"CCL Part Number:
8677990",https://customcontractlighting.com/product/8677990-48w-alistair-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/160073-600x600.jpg,2521
8677961 | 10″ Square Dialin Flushmount,"CCL Part Number:
8677961",https://customcontractlighting.com/product/8677961-10-square-dialin-flushmount-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/158234-600x600.jpg,2521
8677772 | 12″ Square ClubHouse Flushmount,"CCL Part Number:
8677772",https://customcontractlighting.com/product/8677772-12-square-clubhouse-flushmount-2/,no description available.,2521
8677755 | 12″ Wide NorthStar Flushmount,"CCL Part Number:
8677755",https://customcontractlighting.com/product/8677755-12-wide-northstar-flushmount/,https://customcontractlighting.com/wp-content/uploads/2020/09/148882-600x600.jpg,2521
8677185 | 39″ Wide Chain Craft Drum Pendant,"CCL Part Number:
8677185",https://customcontractlighting.com/product/8677185-39-wide-chain-craft-drum-pendant/,no description available.,2521
8676991 | 12″ Wide Caroline Lantern Wall Sconce,"CCL Part Number:
8676991",https://customcontractlighting.com/product/8676991-12-wide-caroline-lantern-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/08/120186-600x600.jpg,2521
8680280 | 72″ WIDE CASTLE RING 3 TIER CHANDELIER,"CCL Part Number:
8680280",https://customcontractlighting.com/product/8680280-72-wide-castle-ring-3-tier-chandelier/,https://customcontractlighting.com/wp-content/uploads/2022/03/247337-600x600.jpg,2521
8678803 | 16″” Wide Winery 3 LT Cascading Pendant,"CCL Part Number:
8678803",https://customcontractlighting.com/product/8678803-16-wide-winery-3-lt-cascading-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/196148-600x600.jpg,2521
8677602 | 15″W Mosaic Wall Sconce,"CCL Part Number:
8677602",https://customcontractlighting.com/product/8677602-15w-mosaic-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/144967-600x600.jpg,2521
8676610 | Stainless Tree 5 LIGHT CHANDELIER,"CCL Part Number:
8676610",https://customcontractlighting.com/product/8676610-stainless-tree-5-light-chandelier/,https://customcontractlighting.com/wp-content/uploads/2020/09/69887-600x600.jpg,2521
8677503 | 9″W FusedGlass Wall Sconce,"CCL Part Number:
8677503",https://customcontractlighting.com/product/8677503-9w-fusedglass-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/141927-600x600.jpg,2521
8677066 | 38″ Long Plataforma Oblong Pendant,"CCL Part Number:
8677066",https://customcontractlighting.com/product/8677066-38-long-plataforma-oblong-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/122288-600x600.jpg,2521
8677946 | 5″ Wide Flora Mini Pendant,"CCL Part Number:
8677946",https://customcontractlighting.com/product/8677946-5-wide-flora-mini-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/157419-600x600.jpg,2521
8676886 | 30″ Wide Incurvee Tess Inverted Pendant,"CCL Part Number:
8676886",https://customcontractlighting.com/product/8676886-30-wide-incurvee-tess-inverted-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/08/117691-600x600.jpg,2521
8676722 | 5″ Square Cosmo Mini Pendant,"CCL Part Number:
8676722",https://customcontractlighting.com/product/8676722-5-square-cosmo-mini-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/08/111384A-600x600.jpg,2521
8678354 | RINGS HEX MADDUX 3 RING PENDANT,"CCL Part Number:
8678354",https://customcontractlighting.com/product/8678354-rings-hex-maddux-3-ring-pendant/,no description available.,2521
8676008 | 72″ Wide Castle Ring 24 LT Chandelier,"CCL Part Number:
8676008",https://customcontractlighting.com/product/8676008-72-wide-castle-ring-24-lt-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/174744-600x600.jpg,2521
8677865 | 8.5″W Roberts Wall Sconce,"CCL Part Number:
8677865",https://customcontractlighting.com/product/8677865-8-5w-roberts-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/153261-600x600.jpg,2521
8676303 | 48″ Long SlimBox Island Pendant,"CCL Part Number:
8676303",https://customcontractlighting.com/product/8676303-48-long-slimbox-island-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/198646-600x600.jpg,2521
