name,description,link_url,image_url,manufacturer_id
8677009 | 48″ Wide Chipahua Pendant,"CCL Part Number:
8677009",https://customcontractlighting.com/product/8677009-48-wide-chipahua-pendant/,no description available.,2521
8675506 | 42″ Wide Mackenzie Semi-Flushmount,"CCL Part Number:
8675506",https://customcontractlighting.com/product/8675506-42-wide-mackenzie-semi-flushmount/,no description available.,2521
8677008 | 7″ Square Ronan Pendant,"CCL Part Number:
8677008",https://customcontractlighting.com/product/8677008-7-square-ronan-pendant/,no description available.,2521
8677004 | 72″ Wide Kirkham 10 Light Chandelier,"CCL Part Number:
8677004",https://customcontractlighting.com/product/8677004-72-wide-kirkham-10-light-chandelier/,no description available.,2521
8677002 | 22″ Wide Wavey 5 Light Chandelier,"CCL Part Number:
8677002",https://customcontractlighting.com/product/8677002-22-wide-wavey-5-light-chandelier/,no description available.,2521
8676999 | 21″ Wide Paris 2 Light Wall Sconce,"CCL Part Number:
8676999",https://customcontractlighting.com/product/8676999-21-wide-paris-2-light-wall-sconce/,no description available.,2521
8676997 | 26″ Wide Giverny 3 Light Wall Sconce,"CCL Part Number:
8676997",https://customcontractlighting.com/product/8676997-26-wide-giverny-3-light-wall-sconce/,no description available.,2521
8676995 | 12″ Wide Oren Wall Sconce,"CCL Part Number:
8676995",https://customcontractlighting.com/product/8676995-12-wide-oren-wall-sconce/,no description available.,2521
8675503 | 10″ Wide Paddington Wall Sconce,"CCL Part Number:
8675503",https://customcontractlighting.com/product/8675503-10-wide-paddington-wall-sconce/,no description available.,2521
8676994 | 7″ Wide ClubHouse Wall Sconce,"CCL Part Number:
8676994",https://customcontractlighting.com/product/8676994-7-wide-clubhouse-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/08/120199-600x600.jpg,2521
8676993 | 12″ Wide Bricelyn Wall Sconce,"CCL Part Number:
8676993",https://customcontractlighting.com/product/8676993-12-wide-bricelyn-wall-sconce/,no description available.,2521
8676992 | 10″ Wide Industrial Chic Wall Sconce,"CCL Part Number:
8676992",https://customcontractlighting.com/product/8676992-10-wide-industrial-chic-wall-sconce/,no description available.,2521
8675502 | 9″W Caroline Wall Sconce,"CCL Part Number:
8675502",https://customcontractlighting.com/product/8675502-9w-caroline-wall-sconce/,no description available.,2521
8676990 | 12″ Wide Birdcage Pendant,"CCL Part Number:
8676990",https://customcontractlighting.com/product/8676990-12-wide-birdcage-pendant/,no description available.,2521
8676988 | 10″ Square Tiago Pendant,"CCL Part Number:
8676988",https://customcontractlighting.com/product/8676988-10-square-tiago-pendant/,no description available.,2521
8675501 | 48″ Wide Brookville Inverted Pendant,"CCL Part Number:
8675501",https://customcontractlighting.com/product/8675501-48-wide-brookville-inverted-pendant/,no description available.,2521
8676987 | 84″ Wide Espadana Inverted Pendant,"CCL Part Number:
8676987",https://customcontractlighting.com/product/8676987-84-wide-espadana-inverted-pendant/,no description available.,2521
8676985 | 36″ Wide Deco Cross Flushmount,"CCL Part Number:
8676985",https://customcontractlighting.com/product/8676985-36-wide-deco-cross-flushmount/,no description available.,2521
8676984 | 5.25″W Ezra Wall Sconce,"CCL Part Number:
8676984",https://customcontractlighting.com/product/8676984-5-25w-ezra-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/120146-600x600.jpg,2521
8676983 | 8″ Wide Anthony Wall Sconce,"CCL Part Number:
8676983",https://customcontractlighting.com/product/8676983-8-wide-anthony-wall-sconce/,no description available.,2521
8676981 | 10″ Wide Diego Wall Sconce,"CCL Part Number:
8676981",https://customcontractlighting.com/product/8676981-10-wide-diego-wall-sconce/,no description available.,2521
