name,description,link_url,image_url,manufacturer_id
8678854 | 1″ Wide Saber Cylinder Pendant,"CCL Part Number:
8678854",https://customcontractlighting.com/product/8678854-1-wide-saber-cylinder-pendant-2/,no description available.,2521
8676300 | 12″ Wide Valerius Wall Sconce,"CCL Part Number:
8676300",https://customcontractlighting.com/product/8676300-12-wide-valerius-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/198240-600x600.jpg,2521
8678841 | 113″ Long OLED Ceiling Fixture,"CCL Part Number:
8678841",https://customcontractlighting.com/product/8678841-113-long-oled-ceiling-fixture-2/,no description available.,2521
8678840 | 60″ Wide Simple Drum 2 Tier Pendant,"CCL Part Number:
8678840",https://customcontractlighting.com/product/8678840-60-wide-simple-drum-2-tier-pendant-2/,no description available.,2521
8676295 | 56″ Wide Castle Ring Mesh 16 LT Chandelier,"CCL Part Number:
8676295",https://customcontractlighting.com/product/8676295-56-wide-castle-ring-mesh-16-lt-chandelier/,https://customcontractlighting.com/wp-content/uploads/2020/09/197721-600x600.jpg,2521
8676294 | 15″ Wide CityHall Flushmount,"CCL Part Number:
8676294",https://customcontractlighting.com/product/8676294-15-wide-cityhall-flushmount-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/197707-600x600.jpg,2521
8676291 | 60″ Wide Mesh Pendant,"CCL Part Number:
8676291",https://customcontractlighting.com/product/8676291-60-wide-mesh-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/197671-600x600.jpg,2521
8676288 | 32″ Wide Cradle 6 LT Pendant,"CCL Part Number:
8676288",https://customcontractlighting.com/product/8676288-32-wide-cradle-6-lt-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/197359-600x600.jpg,2521
8678825 | 29″ Wide Fish Wall Sconce,"CCL Part Number:
8678825",https://customcontractlighting.com/product/8678825-29-wide-fish-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/197320-600x600.jpg,2521
8678823 | 10″ Wide Chesterfields ADA Wall Sconce,"CCL Part Number:
8678823",https://customcontractlighting.com/product/8678823-10-wide-chesterfields-ada-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/197220-600x600.jpg,2521
8678819 | 18″W Tess Wall Sconce,"CCL Part Number:
8678819",https://customcontractlighting.com/product/8678819-18w-tess-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/197137-600x600.jpg,2521
8678809 | 32″ Wide Villach Cascading Chandelier,"CCL Part Number:
8678809",https://customcontractlighting.com/product/8678809-32-wide-villach-cascading-chandelier-2/,no description available.,2521
8678805 | 36″ Long Nicolas 5 Light Chandelier,"CCL Part Number:
8678805",https://customcontractlighting.com/product/8678805-36-long-nicolas-5-light-chandelier/,https://customcontractlighting.com/wp-content/uploads/2020/09/196390-600x600.jpg,2521
8678799 | 36″ Wide Orbs Chandelier,"CCL Part Number:
8678799",https://customcontractlighting.com/product/8678799-36-wide-orbs-chandelier-2/,no description available.,2521
8678794 | 58″ Wide Fish 3 Tier Chandelier,"CCL Part Number:
8678794",https://customcontractlighting.com/product/8678794-58-wide-fish-3-tier-chandelier-2/,no description available.,2521
8676262 | 26″ Wide Lorelei Pendant,"CCL Part Number:
8676262",https://customcontractlighting.com/product/8676262-26-wide-lorelei-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/194976-600x600.jpg,2521
8679364 | 17″W ROOSEVELT 2 LT VANITY,"CCL Part Number:
8679364",https://customcontractlighting.com/product/8679364-17w-roosevelt-2-lt-vanity/,https://customcontractlighting.com/wp-content/uploads/2020/09/194879-600x600.jpg,2521
8678765 | 6.5″Wide Roosevelt Mission Wall Sconce,"CCL Part Number:
8678765",https://customcontractlighting.com/product/8678765-6-5wide-roosevelt-mission-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/194877-600x600.jpg,2521
8679363 | 39″W ROOSEVELT 4 LIGHT LT,"CCL Part Number:
8679363",https://customcontractlighting.com/product/8679363-39w-roosevelt-4-light-lt/,https://customcontractlighting.com/wp-content/uploads/2020/09/194873-600x600.jpg,2521
8678764 | 6″Wide Roosevelt Mission Hanging Wall Sconce,"CCL Part Number:
8678764",https://customcontractlighting.com/product/8678764-6wide-roosevelt-mission-hanging-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/194872-600x600.jpg,2521
8678763 | 18″ Square Roosevelt Flushmount,"CCL Part Number:
8678763",https://customcontractlighting.com/product/8678763-18-square-roosevelt-flushmount/,no description available.,2521
8676258 | 15″ Square Roosevelt Flushmount,"CCL Part Number:
8676258",https://customcontractlighting.com/product/8676258-15-square-roosevelt-flushmount-2/,no description available.,2521
8676257 | 9″ Square Roosevelt Pendant,"CCL Part Number:
8676257",https://customcontractlighting.com/product/8676257-9-square-roosevelt-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/194849-600x600.jpg,2521
8675357 | 4″ Square FusedGlass Apple Taffy Mini Pendant,"CCL Part Number:
8675357",https://customcontractlighting.com/product/8675357-4-square-fusedglass-apple-taffy-mini-pendant/,no description available.,2521
8678762 | 25″ Wide Roosevelt 4 LT Chandelier,"CCL Part Number:
8678762",https://customcontractlighting.com/product/8678762-25-wide-roosevelt-4-lt-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/194838-600x600.jpg,2521
8678761 | 12″ Square Roosevelt Pendant,"CCL Part Number:
8678761",https://customcontractlighting.com/product/8678761-12-square-roosevelt-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/194832-600x600.jpg,2521
8676256 | 9″ Square Roosevelt Pendant,"CCL Part Number:
8676256",https://customcontractlighting.com/product/8676256-9-square-roosevelt-pendant-2/,no description available.,2521
8678760 | 32″ Wide Roosevelt 9 Light Chandelier,"CCL Part Number:
8678760",https://customcontractlighting.com/product/8678760-32-wide-roosevelt-9-light-chandelier-2/,no description available.,2521
8675356 | 4″ Square FusedGlass Apple Taffy Mini Pendant,"CCL Part Number:
8675356",https://customcontractlighting.com/product/8675356-4-square-fusedglass-apple-taffy-mini-pendant/,no description available.,2521
8675355 | 4″ Square FusedGlass Lemon Taffy Mini Pendant,"CCL Part Number:
8675355",https://customcontractlighting.com/product/8675355-4-square-fusedglass-lemon-taffy-mini-pendant/,no description available.,2521
8675354 | 4″ Square FusedGlass Lemon Taffy Mini Pendant,"CCL Part Number:
8675354",https://customcontractlighting.com/product/8675354-4-square-fusedglass-lemon-taffy-mini-pendant/,no description available.,2521
8676254 | 14″ Wide Oakley 2 Light Wall Sconce,"CCL Part Number:
8676254",https://customcontractlighting.com/product/8676254-14-wide-oakley-2-light-wall-sconce/,no description available.,2521
8676252 | 4.5″ Wide Soho Rods Wall Sconce,"CCL Part Number:
8676252",https://customcontractlighting.com/product/8676252-4-5-wide-soho-rods-wall-sconce/,no description available.,2521
8676250 | 12″W Roscoe Wall Sconce,"CCL Part Number:
8676250",https://customcontractlighting.com/product/8676250-12w-roscoe-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/193859-600x600.jpg,2521
8676249 | 12″W Roscoe Wall Sconce,"CCL Part Number:
8676249",https://customcontractlighting.com/product/8676249-12w-roscoe-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/193858-600x600.jpg,2521
8676244 | 16″ Square Roosevelt Flushmount,"CCL Part Number:
8676244",https://customcontractlighting.com/product/8676244-16-square-roosevelt-flushmount-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/193476-600x600.jpg,2521
8678724 | 6″ Wide Satellite Pendant,"CCL Part Number:
8678724",https://customcontractlighting.com/product/8678724-6-wide-satellite-pendant/,no description available.,2521
8675340 | 22″ Wide Rubiks Nexus Pendant,"CCL Part Number:
8675340",https://customcontractlighting.com/product/8675340-22-wide-rubiks-nexus-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/19324-600x600.jpg,2521
8678723 | 7.5″W FusedGlass Wall Sconce,"CCL Part Number:
8678723",https://customcontractlighting.com/product/8678723-7-5w-fusedglass-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/193198-600x600.jpg,2521
8675335 | 30″ Wide Simple Drum White Textrene Pendant,"CCL Part Number:
8675335",https://customcontractlighting.com/product/8675335-30-wide-simple-drum-white-textrene-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/19304A-600x600.jpg,2521
8678717 | 5″ Wide Colfax SWIRL 1LT PENDANT,"CCL Part Number:
8678717",https://customcontractlighting.com/product/8678717-5-wide-colfax-swirl-1lt-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/192961-600x600.jpg,2521
8678716 | 24.5″ Wide Colfax Swirl 4 LT Chandelier,"CCL Part Number:
8678716",https://customcontractlighting.com/product/8678716-24-5-wide-colfax-swirl-4-lt-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/192959-600x600.jpg,2521
8678710 | 22″ Wide Finemesh Pendant,"CCL Part Number:
8678710",https://customcontractlighting.com/product/8678710-22-wide-finemesh-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/192799-600x600.jpg,2521
8678709 | 8″W Cabin Wall Sconce,"CCL Part Number:
8678709",https://customcontractlighting.com/product/8678709-8w-cabin-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/192592-600x600.jpg,2521
8676231 | 15″ Square Roosevelt Pendant,"CCL Part Number:
8676231",https://customcontractlighting.com/product/8676231-15-square-roosevelt-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/192352-600x600.jpg,2521
8678704 | 42″ Wide Winery 12 LT Wine Bottle Chandelier,"CCL Part Number:
8678704",https://customcontractlighting.com/product/8678704-42-wide-winery-12-lt-wine-bottle-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/192173-600x600.jpg,2521
8676228 | 7.5″ Wide Spotz Mini Pendant,"CCL Part Number:
8676228",https://customcontractlighting.com/product/8676228-7-5-wide-spotz-mini-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/192172-600x600.jpg,2521
8678694 | 48″ Wide BlackPipe Pendant,"CCL Part Number:
8678694",https://customcontractlighting.com/product/8678694-48-wide-blackpipe-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/191981X10-1-600x600.jpg,2521
8676224 | 64″ Long Coal Oblong Pendant,"CCL Part Number:
8676224",https://customcontractlighting.com/product/8676224-64-long-coal-oblong-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/191858-600x600.jpg,2521
8676223 | 64″ Long Coal Oblong Pendant,"CCL Part Number:
8676223",https://customcontractlighting.com/product/8676223-64-long-coal-oblong-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/191846-600x600.jpg,2521
8678685 | 24″W Winery 3 LT Wall Sconce,"CCL Part Number:
8678685",https://customcontractlighting.com/product/8678685-24w-winery-3-lt-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/191814-600x600.jpg,2521
8678683 | 53″ Wide Spirits 2 Tier Chandelier,"CCL Part Number:
8678683",https://customcontractlighting.com/product/8678683-53-wide-spirits-2-tier-chandelier/,no description available.,2521
