name,description,link_url,image_url,manufacturer_id
8675341 | 9″ Wide Elyas Avignon Lantern Hanging Wall Sconce,"CCL Part Number:
8675341",https://customcontractlighting.com/product/8675341-9-wide-elyas-avignon-lantern-hanging-wall-sconce/,no description available.,2521
8675822 | 9″W Caroline Wall Sconce,"CCL Part Number:
8675822",https://customcontractlighting.com/product/8675822-9w-caroline-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/158959-600x600.jpg,2521
8675799 | 9″W Caroline Wall Sconce,"CCL Part Number:
8675799",https://customcontractlighting.com/product/8675799-9w-caroline-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/157313-600x600.jpg,2521
8677745 | 9″W WalnutCreek Mission Curved Arm Hanging Wall Sconce,"CCL Part Number:
8677745",https://customcontractlighting.com/product/8677745-9w-walnutcreek-mission-curved-arm-hanging-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/148648-600x600.jpg,2521
8677471 | 12.5″ Wide WalnutCreek Arm Wall Sconce,"CCL Part Number:
8677471",https://customcontractlighting.com/product/8677471-12-5-wide-walnutcreek-arm-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/140501-600x600.jpg,2521
8675497 | 7″W Leighton Wall Sconce,"CCL Part Number:
8675497",https://customcontractlighting.com/product/8675497-7w-leighton-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/119626-600x600.jpg,2521
8679857 | 103″ WIDE HENRY SEMI-FLUSHMOUNT,"CCL Part Number:
8679857",https://customcontractlighting.com/product/8679857-103-wide-henry-semi-flushmount/,https://customcontractlighting.com/wp-content/uploads/2021/04/244305-600x600.jpg,2521
8678058 | 24″W Cake Wall Sconce,"CCL Part Number:
8678058",https://customcontractlighting.com/product/8678058-24w-cake-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/163814-600x600.jpg,2521
8677093 | 32″ Wide Roosevelt 9 LT Chandelier,"CCL Part Number:
8677093",https://customcontractlighting.com/product/8677093-32-wide-roosevelt-9-lt-chandelier/,https://customcontractlighting.com/wp-content/uploads/2020/09/123938a-600x600.jpg,2521
8676899 | 6.75″ Square ClubHouse LED Mini Pendant,"CCL Part Number:
8676899",https://customcontractlighting.com/product/8676899-6-75-square-clubhouse-led-mini-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/118135-600x600.jpg,2521
8679846 | 7″W LEIGHTON WALL SCONCE,"CCL Part Number:
8679846",https://customcontractlighting.com/product/8679846-7w-leighton-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2021/04/244050-600x600.jpg,2521
|,"Size Range:
30-36""",https://customcontractlighting.com/product/34742/,https://customcontractlighting.com/wp-content/uploads/2020/09/145365-600x600.jpg,2521
8679851 | 25″ WIDE SIMPLE DRUM PENDANT,"CCL Part Number:
8679851",https://customcontractlighting.com/product/8679851-25-wide-simple-drum-pendant/,https://customcontractlighting.com/wp-content/uploads/2021/04/244208-600x600.jpg,2521
8678792 | 7″W Plaid Wall Sconce,"CCL Part Number:
8678792",https://customcontractlighting.com/product/8678792-7w-plaid-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/195693-600x600.jpg,2521
8675330 | 10″ Square Alamo Mini Pendant,"CCL Part Number:
8675330",https://customcontractlighting.com/product/8675330-10-square-alamo-mini-pendant/,no description available.,2521
8676948 | 25″ Wide Simple Drum Pendant,"CCL Part Number:
8676948",https://customcontractlighting.com/product/8676948-25-wide-simple-drum-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/119298-600x600.jpg,2521
8675366 | 48″ Long Cabin Personalized 8 LT Chandelier,"CCL Part Number:
8675366",https://customcontractlighting.com/product/8675366-48-long-cabin-personalized-8-lt-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/26977-600x600.jpg,2521
8675365 | 48″ Long Cabin Personalized 8 LT Chandelier,"CCL Part Number:
8675365",https://customcontractlighting.com/product/8675365-48-long-cabin-personalized-8-lt-chandelier-2/,no description available.,2521
8677505 | 9.5″ Square Nicolas Pendant,"CCL Part Number:
8677505",https://customcontractlighting.com/product/8677505-9-5-square-nicolas-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/142032-600x600.jpg,2521
8675646 | 12″ Wide Elegante 3 LT Chandelier,"CCL Part Number:
8675646",https://customcontractlighting.com/product/8675646-12-wide-elegante-3-lt-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/141643-600x600.jpg,2521
8676875 | 18″ Wide Tess FusedGlass Nest Glass Inverted Pendant,"CCL Part Number:
8676875",https://customcontractlighting.com/product/8676875-18-wide-tess-fusedglass-nest-glass-inverted-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/08/117464-600x600.jpg,2521
8677862 | 30″ Wide Papermoon Lantern Pendant,"CCL Part Number:
8677862",https://customcontractlighting.com/product/8677862-30-wide-papermoon-lantern-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/153153-600x600.jpg,2521
8677608 | 48″ Long Jelly jar 6 LT Island Pendant,"CCL Part Number:
8677608",https://customcontractlighting.com/product/8677608-48-long-jelly-jar-6-lt-island-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/145076-600x600.jpg,2521
8676679 | 14″ Square Maxwell Lantern Pendant,"CCL Part Number:
8676679",https://customcontractlighting.com/product/8676679-14-square-maxwell-lantern-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/04/106140A-600x600.jpg,2521
8679845 | 42″ WIDE SIMPLE DRUM 2 TIER PENDANT,"CCL Part Number:
8679845",https://customcontractlighting.com/product/8679845-42-wide-simple-drum-2-tier-pendant/,https://customcontractlighting.com/wp-content/uploads/2021/04/244015-600x600.jpg,2521
8677317 | 96″ Long Plank Oblong Pendant,"CCL Part Number:
8677317",https://customcontractlighting.com/product/8677317-96-long-plank-oblong-pendant-2/,no description available.,2521
8677235 | 15.75″ Wide Tess FusedGlass Glass Inverted Pendant,"CCL Part Number:
8677235",https://customcontractlighting.com/product/8677235-15-75-wide-tess-fusedglass-glass-inverted-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/131204-600x600.jpg,2521
8676937 | 3.5″ Wide Spirits Mini Pendant,"CCL Part Number:
8676937",https://customcontractlighting.com/product/8676937-3-5-wide-spirits-mini-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/119070-600x600.jpg,2521
8675491 | 7″W Leighton Wall Sconce,"CCL Part Number:
8675491",https://customcontractlighting.com/product/8675491-7w-leighton-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/118793-600x600.jpg,2521
8676929 | 42″ WIDE SIMPLE DRUM 2 TIER PENDANT,"CCL Part Number:
8676929",https://customcontractlighting.com/product/8676929-42-wide-simple-drum-2-tier-pendant/,no description available.,2521
8676698 | 4″ Square FusedGlass Mini Pendant,"CCL Part Number:
8676698",https://customcontractlighting.com/product/8676698-4-square-fusedglass-mini-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/04/108765a-600x600.jpg,2521
8676697 | 4″ Square FusedGlass Mini Pendant,"CCL Part Number:
8676697",https://customcontractlighting.com/product/8676697-4-square-fusedglass-mini-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/04/108764A-600x600.jpg,2521
8677762 | 20″ Wide Freilberg Marble Inverted Pendant,"CCL Part Number:
8677762",https://customcontractlighting.com/product/8677762-20-wide-freilberg-marble-inverted-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/149071-600x600.jpg,2521
8676743 | 18″ Wide Tess FusedGlass Inverted Pendant,"CCL Part Number:
8676743",https://customcontractlighting.com/product/8676743-18-wide-tess-fusedglass-inverted-pendant/,no description available.,2521
8677816 | 8″ Wide Acampamento Lantern Pendant,"CCL Part Number:
8677816",https://customcontractlighting.com/product/8677816-8-wide-acampamento-lantern-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/151877-600x600.jpg,2521
8677574 | 45″ Long Andrew 3 LT Island Pendant,"CCL Part Number:
8677574",https://customcontractlighting.com/product/8677574-45-long-andrew-3-lt-island-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/144250-600x600.jpg,2521
8677200 | 27″ Wide Iron Drum Pendant,"CCL Part Number:
8677200",https://customcontractlighting.com/product/8677200-27-wide-iron-drum-pendant-2/,no description available.,2521
8679844 | 12″W ELROSA WALL SCONCE,"CCL Part Number:
8679844",https://customcontractlighting.com/product/8679844-12w-elrosa-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2021/04/243871-600x600.jpg,2521
8678232 | 48″ Wide Cask Barrel Metallo 8 LT Chandelier,"CCL Part Number:
8678232",https://customcontractlighting.com/product/8678232-48-wide-cask-barrel-metallo-8-lt-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/172321-600x600.jpg,2521
8677913 | 12″ Wide Setauket Pendant,"CCL Part Number:
8677913",https://customcontractlighting.com/product/8677913-12-wide-setauket-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/155291-600x600.jpg,2521
8677912 | 14″ Wide Setauket Pendant,"CCL Part Number:
8677912",https://customcontractlighting.com/product/8677912-14-wide-setauket-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/155290-600x600.jpg,2521
8677814 | 24″ Wide Tess FusedGlass Inverted Pendant,"CCL Part Number:
8677814",https://customcontractlighting.com/product/8677814-24-wide-tess-fusedglass-inverted-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/151641-600x600.jpg,2521
8679842 | 12″W CLUBHOUSE WALL SCONCE,"CCL Part Number:
8679842",https://customcontractlighting.com/product/8679842-12w-clubhouse-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2021/04/243797-600x600.jpg,2521
8679837 | 48″ WIDE HEATHER DRUM PENDANT,"CCL Part Number:
8679837",https://customcontractlighting.com/product/8679837-48-wide-heather-drum-pendant/,https://customcontractlighting.com/wp-content/uploads/2021/04/243773-600x600.jpg,2521
8679840 | 5″ WIDE FANCY CURLS 1 LIGHT WALL SCONCE,"CCL Part Number:
8679840",https://customcontractlighting.com/product/8679840-5-wide-fancy-curls-1-light-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2021/04/240912-600x600.jpg,2521
8675810 | 12″ Wide Simple Drum Pendant,"CCL Part Number:
8675810",https://customcontractlighting.com/product/8675810-12-wide-simple-drum-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/158218-600x600.jpg,2521
8677834 | 60″ Long Bulbos 4 LT Island Pendant,"CCL Part Number:
8677834",https://customcontractlighting.com/product/8677834-60-long-bulbos-4-lt-island-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/152205-600x600.jpg,2521
8677722 | 48″ Long Schoolhouse 2 LT W/Traditional Globe Island Pendant,"CCL Part Number:
8677722",https://customcontractlighting.com/product/8677722-48-long-schoolhouse-2-lt-w-traditional-globe-island-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/147636-600x600.jpg,2521
8677695 | 11″ Wide Saxon Pendant,"CCL Part Number:
8677695",https://customcontractlighting.com/product/8677695-11-wide-saxon-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/146801-600x600.jpg,2521
8677614 | 32″ Wide Incurvee Tess Inverted Pendant,"CCL Part Number:
8677614",https://customcontractlighting.com/product/8677614-32-wide-incurvee-tess-inverted-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/145121-600x600.jpg,2521
8677580 | 30″ Wide Tess FusedGlass Marina Glass Inverted Pendant,"CCL Part Number:
8677580",https://customcontractlighting.com/product/8677580-30-wide-tess-fusedglass-marina-glass-inverted-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/144399-600x600.jpg,2521
8676848 | 48″ Wide Heather Drum Pendant,"CCL Part Number:
8676848",https://customcontractlighting.com/product/8676848-48-wide-heather-drum-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/116809-600x600.jpg,2521
8676749 | 30″ Wide Tess FusedGlass Inverted Pendant,"CCL Part Number:
8676749",https://customcontractlighting.com/product/8676749-30-wide-tess-fusedglass-inverted-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/08/115012-600x600.jpg,2521
8677385 | 9″ Square Roosevelt Pendant,"CCL Part Number:
8677385",https://customcontractlighting.com/product/8677385-9-square-roosevelt-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/137578-600x600.jpg,2521
8677161 | 48″ Long Setauket Oblong Pendant,"CCL Part Number:
8677161",https://customcontractlighting.com/product/8677161-48-long-setauket-oblong-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/127434-600x600.jpg,2521
8678562 | 36″ Wide Nauticus Pendant,"CCL Part Number:
8678562",https://customcontractlighting.com/product/8678562-36-wide-nauticus-pendant-2/,no description available.,2521
8677835 | 120″ Long Bulbos 8 LT Island Pendant,"CCL Part Number:
8677835",https://customcontractlighting.com/product/8677835-120-long-bulbos-8-lt-island-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/152206-600x600.jpg,2521
8677801 | 41″ Long Frozenn 8 LT Oblong Chandelier,"CCL Part Number:
8677801",https://customcontractlighting.com/product/8677801-41-long-frozenn-8-lt-oblong-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/151139-600x600.jpg,2521
8677512 | 58″ Long Arseny 10 LT Oblong Chandelier,"CCL Part Number:
8677512",https://customcontractlighting.com/product/8677512-58-long-arseny-10-lt-oblong-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/142272-600x600.jpg,2521
8676621 | 15.5″ Wide Vistula Semi-Flushmount,"CCL Part Number:
8676621",https://customcontractlighting.com/product/8676621-15-5-wide-vistula-semi-flushmount-2/,no description available.,2521
8679828 | 5″ SQUARE SCHWERIN MINI PENDANT,"CCL Part Number:
8679828",https://customcontractlighting.com/product/8679828-5-square-schwerin-mini-pendant/,https://customcontractlighting.com/wp-content/uploads/2021/04/243654-600x600.jpg,2521
8677534 | 32″ Wide Tess Semi-Flushmount,"CCL Part Number:
8677534",https://customcontractlighting.com/product/8677534-32-wide-tess-semi-flushmount/,https://customcontractlighting.com/wp-content/uploads/2020/09/142868-600x600.jpg,2521
8675644 | 72″ Long Plataforma 3 LT Jadestone Island Pendant,"CCL Part Number:
8675644",https://customcontractlighting.com/product/8675644-72-long-plataforma-3-lt-jadestone-island-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/141352-600x600.jpg,2521
8675639 | 20″ Wide Newport Tess Flushmount,"CCL Part Number:
8675639",https://customcontractlighting.com/product/8675639-20-wide-newport-tess-flushmount-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/140926-600x600.jpg,2521
