name,description,link_url,image_url,manufacturer_id
8678895 | 4″ Wide Roberts Wall Sconce,"CCL Part Number:
8678895",https://customcontractlighting.com/product/8678895-4-wide-roberts-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/200724-600x600.jpg,2521
8676321 | 16″ Square Geometric ClubHouse Pendant,"CCL Part Number:
8676321",https://customcontractlighting.com/product/8676321-16-square-geometric-clubhouse-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/200628-600x600.jpg,2521
8678893 | 24″ Wide Countryclub Drum Semi-Flushmount,"CCL Part Number:
8678893",https://customcontractlighting.com/product/8678893-24-wide-countryclub-drum-semi-flushmount/,https://customcontractlighting.com/wp-content/uploads/2020/09/200594-600x600.jpg,2521
8676320 | 42″ Wide Guirlande Semi-Flushmount,"CCL Part Number:
8676320",https://customcontractlighting.com/product/8676320-42-wide-guirlande-semi-flushmount/,https://customcontractlighting.com/wp-content/uploads/2020/09/200476-600x600.jpg,2521
8676319 | 30″ Wide Simple Drum Pendant,"CCL Part Number:
8676319",https://customcontractlighting.com/product/8676319-30-wide-simple-drum-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/200457-600x600.jpg,2521
8678892 | 7.25″ Wide Deco Bigband Wall Sconce,"CCL Part Number:
8678892",https://customcontractlighting.com/product/8678892-7-25-wide-deco-bigband-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/200428-600x600.jpg,2521
8678891 | 40″ Wide Simple Drum Two Tier Pendant,"CCL Part Number:
8678891",https://customcontractlighting.com/product/8678891-40-wide-simple-drum-two-tier-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/200419-600x600.jpg,2521
8678888 | 84″ Wide Sphere Ring 20 Light Two Tier Semi-Flushmount,"CCL Part Number:
8678888",https://customcontractlighting.com/product/8678888-84-wide-sphere-ring-20-light-two-tier-semi-flushmount/,no description available.,2521
8676316 | 36″ Wide Castle Ring 12 Light Chandelier,"CCL Part Number:
8676316",https://customcontractlighting.com/product/8676316-36-wide-castle-ring-12-light-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/200142-600x600.jpg,2521
8676314 | 6″ Wide Anna Wall Sconce,"CCL Part Number:
8676314",https://customcontractlighting.com/product/8676314-6-wide-anna-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/200022-600x600.jpg,2521
