name,description,link_url,image_url,manufacturer_id
8677496 | 5″ Wide Aurelia Mini Pendant,"CCL Part Number:
8677496",https://customcontractlighting.com/product/8677496-5-wide-aurelia-mini-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/141622-600x600.jpg,2521
8677494 | 6.5″ Wide Cylinder Mini Pendant,"CCL Part Number:
8677494",https://customcontractlighting.com/product/8677494-6-5-wide-cylinder-mini-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/141461-600x600.jpg,2521
8677487 | 38.5″ Long Roosevelt 3 LT Island Pendant,"CCL Part Number:
8677487",https://customcontractlighting.com/product/8677487-38-5-long-roosevelt-3-lt-island-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/141037-600x600.jpg,2521
8677467 | 16″ Wide WalnutCreek Wall Sconce,"CCL Part Number:
8677467",https://customcontractlighting.com/product/8677467-16-wide-walnutcreek-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/09/140493-600x600.jpg,2521
8677445 | 18″ Wide Tess Fused Glass Semi-Flushmount,"CCL Part Number:
8677445",https://customcontractlighting.com/product/8677445-18-wide-tess-fused-glass-semi-flushmount/,https://customcontractlighting.com/wp-content/uploads/2020/09/139804-600x600.jpg,2521
8677442 | 7″Wide Cavern Wall Sconce,"CCL Part Number:
8677442",https://customcontractlighting.com/product/8677442-7wide-cavern-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/139699-600x600.jpg,2521
8677349 | 120″ Wide String Legs 10 LT Pendant,"CCL Part Number:
8677349",https://customcontractlighting.com/product/8677349-120-wide-string-legs-10-lt-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/136207-600x600.jpg,2521
8675612 | 42″ Wide Castle Ring 12 LT Chandelier,"CCL Part Number:
8675612",https://customcontractlighting.com/product/8675612-42-wide-castle-ring-12-lt-chandelier-2/,no description available.,2521
8677341 | 103″ Wide FusedGlass 3 Arm Glass Chandelier,"CCL Part Number:
8677341",https://customcontractlighting.com/product/8677341-103-wide-fusedglass-3-arm-glass-chandelier/,no description available.,2521
8677282 | 18″ Wide Winery 16 Wine Bottle Chandelier,"CCL Part Number:
8677282",https://customcontractlighting.com/product/8677282-18-wide-winery-16-wine-bottle-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/133651-600x600.jpg,2521
8675590 | 20″W Killian LED Wall Sconce,"CCL Part Number:
8675590",https://customcontractlighting.com/product/8675590-20w-killian-led-wall-sconce/,no description available.,2521
8677230 | 60″ Long Ehrlich Oblong Pendant,"CCL Part Number:
8677230",https://customcontractlighting.com/product/8677230-60-long-ehrlich-oblong-pendant/,no description available.,2521
8677226 | 11.5″W Deco Art Wall Sconce,"CCL Part Number:
8677226",https://customcontractlighting.com/product/8677226-11-5w-deco-art-wall-sconce/,no description available.,2521
8677186 | 5.5″ Square Cosmo Acrylic Mini Pendant,"CCL Part Number:
8677186",https://customcontractlighting.com/product/8677186-5-5-square-cosmo-acrylic-mini-pendant/,https://customcontractlighting.com/wp-content/uploads/2020/09/128830-600x600.jpg,2521
8677180 | 74″ Wide Cosmopolitan 3 LT Cascading Pendant,"CCL Part Number:
8677180",https://customcontractlighting.com/product/8677180-74-wide-cosmopolitan-3-lt-cascading-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/128480-600x600.jpg,2521
8677147 | 14″W Cason Wall Sconce,"CCL Part Number:
8677147",https://customcontractlighting.com/product/8677147-14w-cason-wall-sconce-2/,no description available.,2521
8677120 | 6.25″ Square Geometric Mini Pendant,"CCL Part Number:
8677120",https://customcontractlighting.com/product/8677120-6-25-square-geometric-mini-pendant-2/,no description available.,2521
8677119 | 5.25″ Wide Ester Mini Pendant,"CCL Part Number:
8677119",https://customcontractlighting.com/product/8677119-5-25-wide-ester-mini-pendant/,no description available.,2521
8677117 | 12″W Tomos Wall Sconce,"CCL Part Number:
8677117",https://customcontractlighting.com/product/8677117-12w-tomos-wall-sconce-2/,no description available.,2521
8677116 | 36″ Wide Satterly 12 Light Chandelier,"CCL Part Number:
8677116",https://customcontractlighting.com/product/8677116-36-wide-satterly-12-light-chandelier-2/,no description available.,2521
8677096 | 72″ Wide Adell 32 LT Chandelier,"CCL Part Number:
8677096",https://customcontractlighting.com/product/8677096-72-wide-adell-32-lt-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/124019-600x600.jpg,2521
8677086 | 18″ Wide Tess Flushmount,"CCL Part Number:
8677086",https://customcontractlighting.com/product/8677086-18-wide-tess-flushmount/,https://customcontractlighting.com/wp-content/uploads/2020/09/123763-600x600.jpg,2521
8677037 | 5″ Wide Emden 1 Light Wall Sconce,"CCL Part Number:
8677037",https://customcontractlighting.com/product/8677037-5-wide-emden-1-light-wall-sconce/,no description available.,2521
8680521 | 20″ SQUARE THAYER 8 LIGHT PENDANT,"CCL Part Number:
8680521",https://customcontractlighting.com/product/8680521-20-square-thayer-8-light-pendant/,https://customcontractlighting.com/wp-content/uploads/2023/03/120306-600x600.jpg,2521
8677003 | 90″ Wide Bogdan 10 Light Chandelier,"CCL Part Number:
8677003",https://customcontractlighting.com/product/8677003-90-wide-bogdan-10-light-chandelier-2/,no description available.,2521
8675494 | 16″ Wide Sofisticato 2 Light Wall Sconce,"CCL Part Number:
8675494",https://customcontractlighting.com/product/8675494-16-wide-sofisticato-2-light-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/119083-600x600.jpg,2521
8676907 | 12″W Pamela Wall Sconce,"CCL Part Number:
8676907",https://customcontractlighting.com/product/8676907-12w-pamela-wall-sconce/,https://customcontractlighting.com/wp-content/uploads/2020/08/118380-600x600.jpg,2521
8675488 | 26″ Wide Altlinster 5 Light Chandelier,"CCL Part Number:
8675488",https://customcontractlighting.com/product/8675488-26-wide-altlinster-5-light-chandelier/,no description available.,2521
8676876 | 30″ Wide Twister 18 LT Chandelier,"CCL Part Number:
8676876",https://customcontractlighting.com/product/8676876-30-wide-twister-18-lt-chandelier-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/117475-600x600.jpg,2521
8676873 | 48″ Long Lourdes Oblong Chandelier,"CCL Part Number:
8676873",https://customcontractlighting.com/product/8676873-48-long-lourdes-oblong-chandelier/,https://customcontractlighting.com/wp-content/uploads/2020/08/117410-600x600.jpg,2521
8675475 | 36″ Long Fancy Curls 8 LT Oblong Chandelier,"CCL Part Number:
8675475",https://customcontractlighting.com/product/8675475-36-long-fancy-curls-8-lt-oblong-chandelier-2/,no description available.,2521
8676845 | 7.5″ Wide Metropolitan Pendant,"CCL Part Number:
8676845",https://customcontractlighting.com/product/8676845-7-5-wide-metropolitan-pendant-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/116783-600x600.jpg,2521
8676818 | 24″ Wide Carolsella 6 Light Chandelier,"CCL Part Number:
8676818",https://customcontractlighting.com/product/8676818-24-wide-carolsella-6-light-chandelier-2/,no description available.,2521
8676804 | 10″ Wide Radley Wall Sconce,"CCL Part Number:
8676804",https://customcontractlighting.com/product/8676804-10-wide-radley-wall-sconce-2/,https://customcontractlighting.com/wp-content/uploads/2020/08/116038-600x600.jpg,2521
8679516 | 16″W CLUBHOUSE VANITY LIGHT,"CCL Part Number:
8679516",https://customcontractlighting.com/product/8679516-16w-clubhouse-vanity-light-2/,https://customcontractlighting.com/wp-content/uploads/2020/09/112114-600x600.jpg,2521
