name,description,link_url,image_url,manufacturer_id
Thermoplastic Exit Sign,"Five year warranty on all electronics and housing. Battery prorated for five years.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local and State Codes.
UL Listed for damp locations (0°C – 50°C).
Certified to CEC under Title 20 Regulations",https://litelume.com/store/ll-ezxteu/,https://litelume.com/wp-content/uploads/2023/01/ezxteu_1500x1000-1-1030x687.jpg,2248
LED Remote Capable Thermoplastic Emergency Unit,"Five year warranty on all electronics and housing. Battery prorated for five years.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local and State Codes.
UL (standard)/CSA (optional) listed for damp locations (0°C – 50°C).",https://litelume.com/store/ll-ledr5ho/,https://litelume.com/wp-content/uploads/2023/01/ledr5ho_1500x1000-1030x687.jpg,2248
LED Recessed Steel Emergency Unit,"Five year warranty on all electronics and housing. Battery prorated for two years.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local and State Codes.
 UL Listed for dry locations. (25°C).",https://litelume.com/store/ll-ledr7/,https://litelume.com/wp-content/uploads/2023/01/ledr7_1500x1000-1030x687.jpg,2248
LED High Lumen Thermoplastic Emergency Unit (LL-LEDSDXR627),"Five year warranty on all electronics and housing. Battery prorated for two years.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local and State Codes.
UL Listed for damp locations (20°C – 50°C) standard.",https://litelume.com/store/ll-ledsdxr627/,https://litelume.com/wp-content/uploads/2023/01/ledsdxr627_1500x1000-1030x687.jpg,2248
Constant-Current Emergency LED Driver,"UL Listed for factory or field installation.
Suitable for damp locations (0°C - 50°C).
5 year warranty on all electronics and housing.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local State codes.",https://litelume.com/store/ll-bledem-cc/,https://litelume.com/wp-content/uploads/2023/01/edem-cc_1500x1000-1030x687.jpg,2248
Constant-Power Emergency LED Driver,"UL Listed for factory or field installation.
Suitable for damp locations (0°C - 50°C).
5 year warranty on all electronics and housing.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local State codes.
Certified to CEC under Title 20 regulations.",https://litelume.com/store/ll-bledem-cp/,https://litelume.com/wp-content/uploads/2023/01/edem-cp_1500x1000-1030x687.jpg,2248
Chicago Approved All Led Exit/Stair Sign & Emergency Steel Combo (LL-CALEDCXTEU),"Five year warranty on all electronics and housing. Battery prorated two years.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local and State Codes.
UL Listed for damp locations (0°C – 40°C).
Meets city of Chicago requirements.",https://litelume.com/store/ll-caledcxteu/,https://litelume.com/wp-content/uploads/2023/01/caledcxteu_1500x1000-1030x687.jpg,2248
Low Profile All LED Exit & Emergency Thermoplastic Combo,"One year warranty on all electronics and housing. Battery prorated for one years.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local and State Codes.
UL Listed for damp locations (0°C – 40°C).
Certified to CEC under Title 20 Regulations.",https://litelume.com/store/ll-ceu/,https://litelume.com/wp-content/uploads/2023/01/ceu_1500x1000-1-1030x687.jpg,2248
LED Exit & Incandescent Emergency Thermoplastic Combo,"Five year warranty on all electronics and housing. Battery prorated five years.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local and State Codes.
UL Listed for damp locations (0°C – 40°C).
Certified to CEC under Title 20 Regulations.",https://litelume.com/store/ll-ckxteu/,https://litelume.com/wp-content/uploads/2023/01/ckxteu_1500x1000-1030x687.jpg,2248
All Led Exit & Emergency Lightpipe Thermoplastic Combo,"Five year warranty on all electronics and housing. Battery prorated five years.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local and State Codes.
UL Listed for damp locations (0°C – 40°C).
Certified to CEC under Title 20 Regulations.",https://litelume.com/store/ll-clpu/,https://litelume.com/wp-content/uploads/2023/01/clpu_1500x1000-1030x687.jpg,2248
New York City Compliant LED Exit & Incandescent Emergency Steel Combo,"Five year warranty on all electronics and housing. Battery prorated five years.
Meets UL924, NFPA 101 Life Safety Code, NEC, OSHA, Local and State Codes.
UL Listed for damp locations (0°C – 40°C).
Certified to CEC under Title 20 Regulations.",https://litelume.com/store/ll-cnyxte/,https://litelume.com/wp-content/uploads/2023/01/cnyxte_1500x1000-1030x687.jpg,2248
