name,description,link_url,image_url,manufacturer_id
2 Light Lemuria Flushmount in Distressed Gold By Lucas McKearn,"Our Flambeau inspired ceiling Flush mount Fixture is designed with a classic Greek Key shaped metal outer drum and ivory linen inner shade creating a striking focal point for your hallway, closet, bathroom or kitchen installation. In the latest neutral tones of gold and cream, this ceiling fixture is the perfect addition to finish the simple and updated design, and accent the Stately design that is a favorite in today’s design trends. We finished this flushed ceiling fixture with a white acrylic diffuser for soft lighting without the glare. Our Medium 15 inch diameter Lemuria Flush mount is shipped and packaged with extra care to arrive undamaged and ready for installation.",https://lucasmckearn.com/product/2-light-lemuria-flushmount-in-distressed-gold-by-lucas-mckearn/,https://lucasmckearn.com/wp-content/uploads/2019/11/GN-LEMURIA-F-002-gold-Product-image-600x600.jpg,1835
Abbey 1lt Wall Sconce,"Possessing a Tudor-like beauty, Abbey captures the essence of British refinement with contrasting hardware and mixed metal finishes. The water mark glass adds nostalgic charm.",https://lucasmckearn.com/product/abbey-1lt-wall-sconce/,https://lucasmckearn.com/wp-content/uploads/2020/12/BB81000ATB-1_6-600x900.jpg,1835
Abbey 3lt Wall Sconce,"Possessing a Tudor-like beauty, Abbey captures the essence of British refinement with contrasting hardware and mixed metal finishes. The water mark glass adds nostalgic charm.",https://lucasmckearn.com/product/abbey-3lt-wall-sconce/,https://lucasmckearn.com/wp-content/uploads/2020/12/BB81000ATB-3_6-600x400.jpg,1835
Acanthus Large Chandelier,"This sparkling 27″ tall chandelier adds glamorous, vintage-inspired detail to your nursery, bedroom or kitchen. Sturdily crafted with a steel frame and finished in distressed gold, this organic chandelier gives us a layered look where each etched glass leaf is placed one by one on the frame until the chandelier is in full bloom. An etched organic design brings elegant texture to a classic glass chandelier. The distressed Gold finish completes the antique feel of this beautiful fixture.",https://lucasmckearn.com/product/acanthus-large-chandelier/,https://lucasmckearn.com/wp-content/uploads/2019/07/CH9081-65_lifestyle_1-600x600.jpg,1835
Acanthus Small Chandelier,"This sparkling 17″ tall chandelier adds glamorous, vintage-inspired detail to your nursery, bedroom or kitchen. Sturdily crafted with a steel frame and finished in distressed gold, this organic chandelier gives us a layered look where each etched glass leaf is placed one by one on the frame until the chandelier is in full bloom. An etched organic design brings elegant texture to a classic glass chandelier. The distressed Gold finish completes the antique feel of this beautiful fixture.",https://lucasmckearn.com/product/acanthus-small-chandelier/,https://lucasmckearn.com/wp-content/uploads/2019/07/CH9081-50-600x600.jpg,1835
Acanthus Textured Glass Oval Island Light Chandelier in Antique Brass,"This Unique Oval chandelier adds glamorous, vintage-inspired detail to your kitchen or dining area. Sturdily crafted with a steel frame and finished in distressed gold, this organic oval Island pendant gives us a layered look where each etched glass leaf is placed one by one on the frame until the chandelier is in full bloom. An etched organic design brings elegant texture to a classic glass island light. The distressed Gold finish completes the antique feel of this beautiful fixture. Uses telescopic rods for adjustible height.",https://lucasmckearn.com/product/pd9082/,https://lucasmckearn.com/wp-content/uploads/2020/01/PD9082-600x600.jpg,1835
Addison 1 Light Bath Light in Polished Chrome,no description available.,https://lucasmckearn.com/product/addison-1-light-bath-light-in-polished-chrome/,https://lucasmckearn.com/wp-content/uploads/2023/01/bb-addison1-pc_.jpg,1835
Addison 2 Light Bath Light in Polished Chrome,no description available.,https://lucasmckearn.com/product/addison-2-light-bath-light-in-polished-chrome/,https://lucasmckearn.com/wp-content/uploads/2023/01/bb-addison2-pc_.jpg,1835
Addison 3 Light Bath Light in Polished Chrome,no description available.,https://lucasmckearn.com/product/addison-3-light-bath-light-in-polished-chrome/,https://lucasmckearn.com/wp-content/uploads/2023/01/bb-addison3-pc_.jpg,1835
Addison 4 Light Bath Light in Polished Chrome,no description available.,https://lucasmckearn.com/product/addison-4-light-bath-light-in-polished-chrome/,https://lucasmckearn.com/wp-content/uploads/2023/01/bb-addison4-pc_.jpg,1835
Alpha 1 Lt Sconce in Aged Brass,no description available.,https://lucasmckearn.com/product/alpha-1-lt-sconce-in-aged-brass/,https://lucasmckearn.com/wp-content/uploads/2022/06/sc10503agb-1-3-600x600.jpg,1835
Alpha 1 Lt Sconce in Matte Black,no description available.,https://lucasmckearn.com/product/alpha-1-lt-sconce-in-matte-black/,https://lucasmckearn.com/wp-content/uploads/2022/06/sc10503mb-1-6-600x600.jpg,1835
Alpha 1lt Wall Sconce,"The bold, chiseled lines of Alpha can take on the various personas of masculine luxury, subtle richness, and edgy glamour. The sconces feature crisp, clear glass shades and the flushes use sanded glass diffusers for even light.",https://lucasmckearn.com/product/alpha-1lt-wall-sconce/,https://lucasmckearn.com/wp-content/uploads/2020/12/BB1302PC-1_6-600x900.jpg,1835
Alpha 1lt Wall Sconce,"The bold, chiseled lines of Alpha can take on the various personas of masculine luxury, subtle richness, and edgy glamour. The sconces feature crisp, clear glass shades and the flushes use sanded glass diffusers for even light.",https://lucasmckearn.com/product/alpha-1lt-wall-sconce-2/,https://lucasmckearn.com/wp-content/uploads/2020/12/BB1302AGB-1_6-600x925.jpg,1835
Alpha 1lt Wall Sconce,"The bold, chiseled lines of Alpha can take on the various personas of masculine luxury, subtle richness, and edgy glamour. The sconces feature crisp, clear glass shades and the flushes use sanded glass diffusers for even light.",https://lucasmckearn.com/product/alpha-1lt-wall-sconce-3/,https://lucasmckearn.com/wp-content/uploads/2020/12/BB1302MB-1-600x600.jpg,1835
Alpha 2lt Wall Sconce,"The bold, chiseled lines of Alpha can take on the various personas of masculine luxury, subtle richness, and edgy glamour. The sconces feature crisp, clear glass shades and the flushes use sanded glass diffusers for even light.",https://lucasmckearn.com/product/alpha-2lt-wall-sconce/,https://lucasmckearn.com/wp-content/uploads/2020/12/BB1302PC-2_6-600x600.jpg,1835
Alpha 2lt Wall Sconce,"The bold, chiseled lines of Alpha can take on the various personas of masculine luxury, subtle richness, and edgy glamour. The sconces feature crisp, clear glass shades and the flushes use sanded glass diffusers for even light.",https://lucasmckearn.com/product/alpha-2lt-wall-sconce-2/,https://lucasmckearn.com/wp-content/uploads/2020/12/BB1302AGB-2_6-600x600.jpg,1835
Alpha 2lt Wall Sconce,"The bold, chiseled lines of Alpha can take on the various personas of masculine luxury, subtle richness, and edgy glamour. The sconces feature crisp, clear glass shades and the flushes use sanded glass diffusers for even light.",https://lucasmckearn.com/product/alpha-2lt-wall-sconce-3/,https://lucasmckearn.com/wp-content/uploads/2020/12/BB1302MB-2_6-600x600.jpg,1835
Alpha 3lt Wall Sconce,"The bold, chiseled lines of Alpha can take on the various personas of masculine luxury, subtle richness, and edgy glamour. The sconces feature crisp, clear glass shades and the flushes use sanded glass diffusers for even light.",https://lucasmckearn.com/product/alpha-3lt-wall-sconce/,https://lucasmckearn.com/wp-content/uploads/2020/12/BB1302PC-3_6-600x426.jpg,1835
Alpha 3lt Wall Sconce,"The bold, chiseled lines of Alpha can take on the various personas of masculine luxury, subtle richness, and edgy glamour. The sconces feature crisp, clear glass shades and the flushes use sanded glass diffusers for even light.",https://lucasmckearn.com/product/alpha-3lt-wall-sconce-2/,https://lucasmckearn.com/wp-content/uploads/2020/12/BB1302AGB-3_6-600x600.jpg,1835
