name,description,link_url,image_url,manufacturer_id
AHM,"CERTIFICATIONS

DESCRIPTION
LED luminaire for surface or suspended installation with aircraft cables. The construction of the body and lens harmoniously come together to create a unique design shape of a half moon. Ideal for commercial environments. Row mounting available, consult factory.
CONSTRUCTION
Rigid one-piece body constructed from code gauge steel.
SHIELDING
Wide acrylic lens, ribbed on the inside.
FINISH
Standard finish is matte white polyester baked powder coat enamel.
ELECTRICAL
3000K, 3500K, 4000K | 120V-277V | 347V",https://usa.peerless-electric.com/product/ahm/,https://usa.peerless-electric.com/wp-content/uploads/2019/03/thumbnail_01-AHM.jpg,1524
AP2W,"CERTIFICATIONS


DESCRIPTION
LED luminaire for surface mounting with brackets or suspended installation with mounting brackets and bail links. Designed for impact resistance. Ideal for indoor or outdoor applications, such as parking garages, food processing facilities, refrigerated storage, pedestrian tunnels and other industrial applications where protection from dust and water is required.
CONSTRUCTION
One-piece fiberglass housing. Enclosed with gasket.
SHIELDING
As standard frosted or clear ribbed acrylic lens.
FINISH
High gloss white polyester baked powder coat enamel.
ELECTRICAL
3000K, 3500K, 4000K, 5000K | 120V-277V | 347V",https://usa.peerless-electric.com/product/enclosed-gasketed-led-vapor-tight-ip656667/,https://usa.peerless-electric.com/wp-content/uploads/2015/01/01-AP2W.jpg,1524
AP4,"CERTIFICATIONS


DESCRIPTION
LED luminaire for surface mounting with brackets or suspended installation with mounting brackets (V-Hooks). Designed for impact resistance. Ideal for indoor or outdoor applications, such as parking garages, food processing facilities, refrigerated storage, pedestrian tunnels and other industrial applications where protection from dust and water is required.
CONSTRUCTION
One-piece fiberglass housing. Enclosed with gasket.
SHIELDING
As standard impact resistant optically clear acrylic injection-molded lens.
FINISH
High gloss white polyester baked powder coat enamel.
ELECTRICAL
3500K, 4000K, 5000K | 120V-277V | 347V",https://usa.peerless-electric.com/product/ap4-hb-surface-enclosed-gasketed-led-high-bay/,https://usa.peerless-electric.com/wp-content/uploads/2015/03/01-AP4.jpg,1524
AP4-HB,"CERTIFICATIONS


DESCRIPTION
LED luminaire for surface mounting with brackets or suspended installation with mounting brackets (V-Hooks). Designed for impact resistance. Ideal for indoor or outdoor applications, such as parking garages, food processing facilities, refrigerated storage, pedestrian tunnels and other industrial applications where protection from dust and water is required.
CONSTRUCTION
One-piece fiberglass housing. Enclosed with gasket.
SHIELDING
As standard impact resistant optically clear acrylic injection-molded lens.
FINISH
Matte white polyester baked powder coat enamel.
ELECTRICAL
3500K, 4000K, 5000K | 120V-277V | 347V",https://usa.peerless-electric.com/product/ap4-surface-enclosed-gasketed-led/,https://usa.peerless-electric.com/wp-content/uploads/2015/03/01-AP4-1.jpg,1524
CEL,"CERTIFICATIONS


DESCRIPTION
LED luminaire for surface or suspended installation with aircraft cables or v-hooks, consult factory. Ideal for commercial environments. Row mounting available, consult factory.
CONSTRUCTION
Rigid one-piece body constructed from code gauge steel.
SHIELDING
Frosted prismatic wrap-around lens.
FINISH
High gloss white polyester baked powder coat enamel.
ELECTRICAL
4000K | 120V-277V",https://usa.peerless-electric.com/product/cel/,https://usa.peerless-electric.com/wp-content/uploads/2018/09/01-CEL-PNG-1-e1565720019586.jpg,1524
CI,"CERTIFICATIONS

DESCRIPTION
LED luminaire for surface mounting for ceiling or wall. Spring-loaded and hinged end caps make installation easy. Ideal for stairwells and other commercial environments. Row mounting available, consult factory.
CONSTRUCTION
Rigid body constructed from code gauge steel.
SHIELDING
As standard #12 clear prismatic acrylic wrap-around lens.
FINISH
Standard finish is high gloss white polyester baked powder coat enamel.
ELECTRICAL
3000K, 3500K, 4000K | 120V-277V | 347V",https://usa.peerless-electric.com/product/cl-surface-wraps-led-2-3-4/,https://usa.peerless-electric.com/wp-content/uploads/2015/04/01-CI.jpeg,1524
ECR-G,"CERTIFICATIONS

DESCRIPTION
Germicidal luminaire for suspended mounting with aircraft cables. Designed to help clean the air of bacteria, fungi, their spores and inactivating viruses by destroying their ability to replicate. A stylish linear fixture that provides indirect UVc disinfection.
CONSTRUCTION
Rigid body constructed from code gauge steel. The luminaire has a ballast, two germicidal lamps and a sensor. The microwave UVc sensor interrupts the power in case of detection of movement and resumes operation after a time that can be adjusted (by DIP switch).
FINISH
Standard finish is white polyester baked powder coat enamel. Custom colours available, consult factory.
ELECTRICAL
1 x 32W / 2 x 32W | 120V",https://usa.peerless-electric.com/product/ecr-g/,https://usa.peerless-electric.com/wp-content/uploads/2021/08/01-ECR-G.jpg,1524
GP-15,"CERTIFICATIONS

DESCRIPTION
LED luminaire for surface or suspended installation with field adjustable aircraft cables or v-links for mounting chain. Ideal for gymnasiums, recreational areas and other commercial environments. Row mounting available, consult factory.
CONSTRUCTION
Rigid one-piece body constructed from code gauge steel.
SHIELDING
Hinged and framed wireguard reinforced with a #12 clear prismatic acrylic lens.
FINISH
Standard finish is high gloss white polyester baked powder coat enamel.
ELECTRICAL
3500K, 4000K, 5000K | 120V-277V | 347V",https://usa.peerless-electric.com/product/gp-15-gymnasium-luminaire/,https://usa.peerless-electric.com/wp-content/uploads/2018/01/01-GP-15-WG.jpg,1524
GP-HB,"CERTIFICATIONS


DESCRIPTION
LED luminaire for surface or suspended installation with field adjustable aircraft cables or v-links for mounting chain. Ideal for gymnasiums, recreational areas and other commercial environments. Row mounting available, consult factory.
CONSTRUCTION
Rigid one-piece body constructed from code gauge steel.
SHIELDING
Hinged and framed wireguard reinforced with a #12 clear prismatic acrylic lens.
FINISH
Standard finish is high gloss white polyester baked powder coat enamel.
ELECTRICAL
3500K, 4000K, 5000K | 120V-277V | 347V",https://usa.peerless-electric.com/product/gphb-gymnasium-high-bay/,https://usa.peerless-electric.com/wp-content/uploads/2015/04/01-gp-hb.jpg,1524
HBE,"CERTIFICATIONS


DESCRIPTION
LED luminaire for suspended installation supplied with v-links and 31” chains. Ideal for commercial environments.
CONSTRUCTION
Rigid one-piece body constructed from code gauge steel.
SHIELDING
Frosted lens.
FINISH
High gloss white polyester baked powder coat enamel.
ELECTRICAL
4000K, 5000K | 120V-277V | 347V",https://usa.peerless-electric.com/product/hbe/,https://usa.peerless-electric.com/wp-content/uploads/2018/12/01-HBE-CHAINS-1-e1565718002461.jpg,1524
HTP,"CERTIFICATIONS


DESCRIPTION
LED luminaire for suspended installation with aircraft cables. The slim and modern design makes it seem nearly transparent when off. When on, with 55% down lighting and 45% up lighting distribution it gives a illusion of a floating fixture in mid-air. Ideal for indoor environments, such as offices, hospitals and schools. Row mounting available, consult factory.
CONSTRUCTION
Aluminum extrusion body.
SHIELDING
PMMA.
FINISH
Matte white polyester baked powder coat enamel.
ELECTRICAL
3000K, 3500K, 4000K | 120V-277V",https://usa.peerless-electric.com/product/htp/,https://usa.peerless-electric.com/wp-content/uploads/2018/12/01-HTP-NEW.png,1524
