name,link_url,image_url,unique_id,manufacturer_id
Glyph,https://rbw.com/products/glyph/pc28-27-10_triac_120v-ip65,https://rbw.imgix.net/products/glyph/pdp/GY_PC28_OFF.jpg,GY-PC28-27-10_TRIAC_120V-IP65,1530
Topo Sconce,https://rbw.com/products/topo-sconce/s-e-v5-27-10_triac_120v-ip65,https://rbw.imgix.net/products/topo-sconce/pdp/TP-WS-1D_S_E_V5_ON.jpg,TP-WS-1D-S-E-V5-27-10_TRIAC_120V-IP65,1530
Topo Flush Mount,https://rbw.com/products/topo-flush-mount/m-e-v1-27-10_triac_120v-ip65,https://rbw.imgix.net/products/topo-flush-mount/pdp/TP-FM-1D_M_E_V1_ON.jpg,TP-FM-1D-M-E-V1-27-10_TRIAC_120V-IP65,1530
Akoya,https://rbw.com/products/akoya/m16-pc25-27-10_triac_120v,https://rbw.imgix.net/products/akoya/pdp/AK_M16_PC25_ON.jpg,AK-M16-PC25-27-10_TRIAC_120V,1530
AllSew,https://rbw.com/products/allsew/36-pc20-co-27-1_triac_120v,https://rbw.imgix.net/products/allsew/pdp/ALP-W_36_PC20_CO_OFF.jpg,ALP-W-36-PC20-CO-27-1_TRIAC_120V,1530
Branch Sconce,https://rbw.com/products/branch-sconce/m-aa01-27-1_triac_120v,no image available,BRES-M-AA01-27-1_TRIAC_120V,1530
Branch Pendant,https://rbw.com/products/branch-pendant/l-aa03-27-1_triac_120v,no image available,BREP-L-AA03-27-1_TRIAC_120V,1530
Brim (Switch),https://rbw.com/products/brim-switch/sw-pc20-s1-pc25-27-10_triac_120v,no image available,BRM-SW-PC20-S1-PC25-27-10_TRIAC_120V,1530
Centro Flush Mount,https://rbw.com/products/centro-flush-mount/pc25-27-1_triac_120v,no image available,CTF-18-PC25-27-1_TRIAC_120V,1530
Chip,https://rbw.com/products/chip/wh-27-10_triac_120v-ip65,https://rbw.imgix.net/products/chip/pdp/CHP_WH_OFF.jpg,CHP-WH-27-10_TRIAC_120V-IP65,1530
Crisp Sconce,https://rbw.com/products/crisp-sconce/s10-aa01-27-10_triac_120v-ip20,https://rbw.imgix.net/products/crisp-sconce/pdp/CR-WS_S10_AA01_ON.jpg,CR-WS-S10-AA01-27-10_TRIAC_120V-IP20,1530
Cinema Double Tiers,https://rbw.com/products/cinema-44/66-pf12-27-1_triac_120v,no image available,C44-66-PF12-27-1_TRIAC_120V,1530
Dimple Sconce,https://rbw.com/products/dimple-sconce/s1-aa01-27-10_triac_120v-ip20,https://rbw.imgix.net/products/dimple-sconce/pdp/DP-WS_S1_AA01_OFF.jpg,DP-WS-S1-AA01-27-10_TRIAC_120V-IP20,1530
Hoist Sconce,https://rbw.com/products/hoist-sconce/21-b-pc24-27-10_triac_120v-ip65,no image available,HS-21-B-PC24-27-10_TRIAC_120V-IP65,1530
Hoist Pendant,https://rbw.com/products/hoist-pendant/21-b-pc36-27-1_triac_120v-ip65,no image available,HP-21-B-PC36-27-1_TRIAC_120V-IP65,1530
Ripple Sconce,https://rbw.com/products/ripple-sconce/s21-aa01-27-10_triac_120v-ip65,https://rbw.imgix.net/products/ripple-sconce/pdp/RP-WS_S21_AA01_ON.jpg,RP-WS-S21-AA01-27-10_TRIAC_120V-IP65,1530
Gala Cross,https://rbw.com/products/gala-cross/pc30-22-1_triac_120v-cpyb,no image available,GC-7242-PC30-22-1_TRIAC_120V-CPYB,1530
