name,description,link_url,image_url,unique_id,manufacturer_id
"Gusto 22"" LED Single Pendant","Futuristic and full of Gusto, the capsule collection designed by Cesar Giraldo features artisanal hand-blown glass elements colored in cloud-like white infused glass or gradients of smoked grey and warm amber t
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/gusto-22-led-single-pendant/SM18592GLD,https://www.studiomlighting.com/products_main_image/SM18592GLD.jpg,SM18592GLD,1113
"Gusto 33"" LED Single Pendant","Futuristic and full of Gusto, the capsule collection designed by Cesar Giraldo features artisanal hand-blown glass elements colored in cloud-like white infused glass or gradients of smoked grey and warm amber t
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/gusto-33-led-single-pendant/SM18593GLD,https://www.studiomlighting.com/products_main_image/SM18593GLD.jpg,SM18593GLD,1113
"Gusto 33"" LED Ceiling Mount","Futuristic and full of Gusto, the capsule collection designed by Cesar Giraldo features artisanal hand-blown glass elements colored in cloud-like white infused glass or gradients of smoked grey and warm amber t
read more...",https://www.studiomlighting.com/product/indoor-lighting/flush-mounts/gusto-33-led-ceiling-mount/SM18594GLD,https://www.studiomlighting.com/products_main_image/SM18594GLD.jpg,SM18594GLD,1113
"Gusto 20"" LED Table Lamp","Futuristic and full of Gusto, the capsule collection designed by Cesar Giraldo features artisanal hand-blown glass elements colored in cloud-like white infused glass or gradients of smoked grey and warm amber t
read more...",https://www.studiomlighting.com/product/indoor-lighting/floor-desk-table-lamps/gusto-20-led-table-lamp/SM18595GLD,https://www.studiomlighting.com/products_main_image/SM18595GLD.jpg,SM18595GLD,1113
Gusto LED Horizontal Pendant,"Futuristic and full of Gusto, the capsule collection designed by Cesar Giraldo features artisanal hand-blown glass elements colored in cloud-like white infused glass or gradients of smoked grey and warm amber t
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/gusto-led-horizontal-pendant/SM18597GLD,https://www.studiomlighting.com/products_main_image/SM18597GLD.jpg,SM18597GLD,1113
"Gusto 28"" LED Table Lamp","Futuristic and full of Gusto, the capsule collection designed by Cesar Giraldo features artisanal hand-blown glass elements colored in cloud-like white infused glass or gradients of smoked grey and warm amber t
read more...",https://www.studiomlighting.com/product/indoor-lighting/floor-desk-table-lamps/gusto-28-led-table-lamp/SM18598GLD,https://www.studiomlighting.com/products_main_image/SM18598GLD.jpg,SM18598GLD,1113
"Gusto 72"" LED Floor Lamp","Futuristic and full of Gusto, the capsule collection designed by Cesar Giraldo features artisanal hand-blown glass elements colored in cloud-like white infused glass or gradients of smoked grey and warm amber t
read more...",https://www.studiomlighting.com/product/indoor-lighting/floor-desk-table-lamps/gusto-72-led-floor-lamp/SM18599GLD,https://www.studiomlighting.com/products_main_image/SM18599GLD.jpg,SM18599GLD,1113
Gusto LED Wall Sconce / Flush Mount,"Futuristic and full of Gusto, the capsule collection designed by Cesar Giraldo features artisanal hand-blown glass elements colored in cloud-like white infused glass or gradients of smoked grey and warm amber t
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/gusto-led-wall-sconce--flush-mount/SM18590FGGLD,https://www.studiomlighting.com/products_main_image/SM18590FGGLD.jpg,SM18590FGGLD,1113
New Age Desk Lamp Straie Arya,"In an approach distinctly found in the works of Nina Magon, the New Age portable desk lamp presents a familiar, yet unusual shape made up of combined luxurious elements. A curved slab of brushed metal in Gunmet
read more...",https://www.studiomlighting.com/product/indoor-lighting/floor-desk-table-lamps/new-age-desk-lamp-straie-arya/SM2421ARYBGM,https://www.studiomlighting.com/products_main_image/SM2421ARYBGM.jpg,SM2421ARYBGM,1113
Mobius LED Lamp,"A seamless loop of light and metal, the Mobius loop pushes boundaries with a non-orientable surface. Encased in a hand formed etched acrylic tube a innovative, omnidirectional LED light strip brightly illuminat
read more...",https://www.studiomlighting.com/product/indoor-lighting/floor-desk-table-lamps/mobius-led-lamp/SM255090WTBKGLD,https://www.studiomlighting.com/products_main_image/SM255090WTBKGLD.jpg,SM255090WTBKGLD,1113
Mobius 12 LED Mini Pendant,"A seamless loop of light and metal, the Mobius loop pushes boundaries with a non-orientable surface. Encased in a hand formed etched acrylic tube a innovative, omnidirectional LED light strip brightly illuminat
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/mobius-12-led-mini-pendant/SM255092WTBKGLD,https://www.studiomlighting.com/products_main_image/SM255092WTBKGLD.jpg,SM255092WTBKGLD,1113
Mobius 24 LED Pendant,"A seamless loop of light and metal, the Mobius loop pushes boundaries with a non-orientable surface. Encased in a hand formed etched acrylic tube a innovative, omnidirectional LED light strip brightly illuminat
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/mobius-24-led-pendant/SM255094WTBKGLD,https://www.studiomlighting.com/products_main_image/SM255094WTBKGLD.jpg,SM255094WTBKGLD,1113
Mobius 31.5 LED Pendant,"A seamless loop of light and metal, the Mobius loop pushes boundaries with a non-orientable surface. Encased in a hand formed etched acrylic tube a innovative, omnidirectional LED light strip brightly illuminat
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/mobius-31-5-led-pendant/SM255096WTBKGLD,https://www.studiomlighting.com/products_main_image/SM255096WTBKGLD.jpg,SM255096WTBKGLD,1113
