name,description,link_url,image_url,manufacturer_id
3001,"Recessed floor luminaire with trim for outdoor application with upward light projection.
Exterior rim in stainless steel.
Injected aluminium body.
Tempered glass.
PVC recessed box.",https://www.tromilux.com/en/products/outdoor/exterior-floor-recessed/product-3001/,https://www.tromilux.com/imagegen/client/files/0000000001/8200.jpg/400x400/1/,308
3002,"Recessed floor luminaire with trim for outdoor application with upward light projection.
Exterior rim in stainless steel.
Injected aluminium body.
Tempered glass.
PVC recessed box.
Incorporated driver.",https://www.tromilux.com/en/products/outdoor/exterior-floor-recessed/product-3002/,https://www.tromilux.com/imagegen/client/files/0000000001/8207.jpg/400x400/1/,308
3003,"Recessed floor luminaire with trim for outdoor application with upward light projection.
Exterior rim in stainless steel.
Injected aluminium body.
Tempered glass.
Recessed box in ABS.
Incorporated driver.",https://www.tromilux.com/en/products/outdoor/exterior-floor-recessed/product-3003/,https://www.tromilux.com/imagegen/client/files/0000000001/8201.jpg/400x400/1/,308
3004,"Recessed floor luminaire with trim for outdoor application with orientable upward light projection.
Exterior rim in stainless steel.
Injected aluminium body.
Tempered glass.
Recessed box in ABS.
Incorporated driver.",https://www.tromilux.com/en/products/outdoor/exterior-floor-recessed/product-3004/,https://www.tromilux.com/imagegen/client/files/0000000001/8202.jpg/400x400/1/,308
3005,"Recessed floor luminaire with trim for outdoor application with upward light projection.
Exterior rim in stainless steel. Injected aluminium body.
Tempered glass.
Recessed ABS box included.
Incorporated driver.",https://www.tromilux.com/en/products/outdoor/exterior-floor-recessed/product-3005/,https://www.tromilux.com/imagegen/client/files/0000000001/8197.jpg/400x400/1/,308
3006,"Recessed floor luminaire with trim for outdoor application with upward light projection.
Exterior rim in 316L stainless steel.
Injected aluminium body.
Tempered glass.
Recessed ABS box included.",https://www.tromilux.com/en/products/outdoor/exterior-floor-recessed/product-3006/,https://www.tromilux.com/imagegen/client/files/0000000001/8223.jpg/400x400/1/,308
3007,"Recessed floor luminaire with trim for outdoor application with upward light projection.
Exterior rim in stainless steel.
Injected aluminium body.
Tempered glass.
Recessed box in PVC.
Incorporated driver.",https://www.tromilux.com/en/client/skins/geral.php?id=3840,https://www.tromilux.com/imagegen/client/files/0000000001/8203.jpg/400x400/1/,308
3008,"Recessed floor luminaire with trim for outdoor application with upward light projection.
Exterior rim in stainless steel.
Injected aluminium body.
Tempered glass.
Incorporated driver.",https://www.tromilux.com/en/client/skins/geral.php?id=3841,https://www.tromilux.com/imagegen/client/files/0000000001/8206.jpg/400x400/1/,308
3010,"Recessed floor luminaire with trim for outdoor application with orientable upward light projection.
Exterior rim in stainless steel.
Injected aluminium body.
Tempered glass.
Recessed ABS box included.
Incorporated driver.",https://www.tromilux.com/en/products/outdoor/exterior-floor-recessed/product-3010/,https://www.tromilux.com/imagegen/client/files/0000000001/8205.jpg/400x400/1/,308
3011,"Recessed floor luminaire with trim for outdoor application with upward light projection.
Stainless steel outer rim.
Injected aluminium body.
Tempered glass.
PVC recessed box.",https://www.tromilux.com/en/products/outdoor/exterior-floor-recessed/product-3011/,https://www.tromilux.com/imagegen/client/files/0000000001/8224.jpg/400x400/1/,308
