name,description,link_url,image_url,manufacturer_id
2001,"Recessed wall luminaire with trim for outdoor application, with front light projection.
Injected aluminium outer rim.
Polyamide body.
Opaline polycarbonate diffuser.
Recessed box not included.
Incorporated driver.",https://www.tromilux.com/en/products/outdoor/exterior-wall-recessed/product-2001/,https://www.tromilux.com/imagegen/client/files/0000000001/8104.jpg/400x400/1/,308
2002,"Recessed wall luminaire with trim for outdoor application, with front light projection.
Injected aluminium outer rim.
Polyamide body.
Opaline polycarbonate diffuser.
Recessed box not included.
Incorporated driver.",https://www.tromilux.com/en/products/outdoor/exterior-wall-recessed/product-2002/,https://www.tromilux.com/imagegen/client/files/0000000001/8105.jpg/400x400/1/,308
2003 F,"Recessed wall projector with outer trim in stainless steel 316 L, brushed or painted.
Injected aluminium body.
Tempered glass.",https://www.tromilux.com/en/products/outdoor/exterior-wall-recessed/product-2003/,https://www.tromilux.com/imagegen/client/files/0000000001/5082.jpg/400x400/1/,308
2003 T,"Recessed wall projector with outer trim in stainless steel 316 L, brushed or painted.
Injected aluminium body.
Tempered glass.",https://www.tromilux.com/en/client/skins/geral.php?id=3836,https://www.tromilux.com/imagegen/client/files/0000000001/6138.jpg/400x400/1/,308
2004 F,"Recessed wall projector with outer trim in stainless steel 316 L, brushed or painted.
Injected aluminium body.
Tempered glass.",https://www.tromilux.com/en/products/outdoor/exterior-wall-recessed/product-2004/,https://www.tromilux.com/imagegen/client/files/0000000001/5083.jpg/400x400/1/,308
2004 T,"Recessed wall projector with outer trim in stainless steel 316 L, brushed or painted.
Injected aluminium body.
Tempered glass.",https://www.tromilux.com/en/client/skins/geral.php?id=3837,https://www.tromilux.com/imagegen/client/files/0000000001/6140.jpg/400x400/1/,308
2005.101,"Recessed wall luminaire with trim for outdoor application, with front light projection.
Rim in stainless steel.
Injected aluminium body.
Protective frosted glass included.
Incorporated driver.
Recessed box included.",https://www.tromilux.com/en/client/skins/geral.php?id=4065,https://www.tromilux.com/imagegen/client/files/0000000001/8123.jpg/400x400/1/,308
2005.102,"Recessed wall luminaire with trim for outdoor application, with front light projection.
Rim in stainless steel.
Injected aluminium body.
Protective frosted glass included.
Incorporated driver.
Recessed box included.",https://www.tromilux.com/en/client/skins/geral.php?id=4066,https://www.tromilux.com/imagegen/client/files/0000000001/8124.jpg/400x400/1/,308
2005.103,"Recessed wall luminaire with trim for outdoor application, with front light projection.
Rim in stainless steel.
Injected aluminium body.
Protective frosted glass included.
Incorporated driver.
Recessed box included.",https://www.tromilux.com/en/client/skins/geral.php?id=4067,https://www.tromilux.com/imagegen/client/files/0000000001/8125.jpg/400x400/1/,308
2009,"Recessed wall luminaire with trim for outdoor application, with front light projection.
Brushed or painted stainless steel outer rim.
Injected aluminium body.
Opaline polycarbonate diffuser.
Recessed box not included.
Incorporated driver.",https://www.tromilux.com/en/products/outdoor/exterior-wall-recessed/product-2009/,https://www.tromilux.com/imagegen/client/files/0000000001/8107.jpg/400x400/1/,308
2010,"Recessed wall luminaire with trim for outdoor application, with front light projection.
Injected aluminium outer rim and body.
Opaline polycarbonate diffuser.
Recessed box included.
Incorporated driver.",https://www.tromilux.com/en/products/outdoor/exterior-wall-recessed/product-2010/,https://www.tromilux.com/imagegen/client/files/0000000001/8108.jpg/400x400/1/,308
2011,"Recessed wall luminaire with trim for outdoor application, with front light projection.
Injected aluminium outer rim.
Injected aluminium body.
Opaline polycarbonate diffuser.
Recessed box not included.
Incorporated driver.",https://www.tromilux.com/en/products/outdoor/exterior-wall-recessed/product-2011/,https://www.tromilux.com/imagegen/client/files/0000000001/8106.jpg/400x400/1/,308
