name,description,link_url,image_url,manufacturer_id
4048 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/4048-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8495.jpg/400x400/1/,308
4049 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/4049-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8496.jpg/400x400/1/,308
4051,"Suspended luminaire for indoor application, with downward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser.
Incorporated driver.
Possibility of adding curved profiles, as well as different modular accessories.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/product-4051/,https://www.tromilux.com/imagegen/client/files/0000000001/8376.jpg/400x400/1/,308
4051 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/4051-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8376.jpg/400x400/1/,308
4051.S,"Suspended luminaire for indoor application, with downward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser.
Incorporated driver.
Possibility of adding curved profiles, as well as different modular accessories.",https://www.tromilux.com/en/client/skins/geral.php?id=4148,https://www.tromilux.com/imagegen/client/files/0000000001/9000.jpg/400x400/1/,308
4052,"Suspended luminaire for indoor application, with downward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser.
Incorporated driver.
Possibility of adding curved profiles.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/product-4052/,https://www.tromilux.com/imagegen/client/files/0000000001/8377.jpg/400x400/1/,308
4052 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/4052-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8377.jpg/400x400/1/,308
4053,"Suspended luminaire for indoor application, with downward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser.
Incorporated driver.
 ",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/product-4053/,https://www.tromilux.com/imagegen/client/files/0000000001/8378.jpg/400x400/1/,308
4053 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/4053-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8378.jpg/400x400/1/,308
4056,"Suspended luminaire of double profile for indoor application, with downward and upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser.
Incorporated driver. ",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/product-4056/,https://www.tromilux.com/imagegen/client/files/0000000001/8382.jpg/400x400/1/,308
4056 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/4056-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8382.jpg/400x400/1/,308
4056.S,"Suspended luminaire of double profile for indoor application, with downward and upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser.
Incorporated driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=4150,https://www.tromilux.com/imagegen/client/files/0000000001/9008.jpg/400x400/1/,308
4057,"Suspended luminaire of double profile for indoor application, with downward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser.
Incorporated driver. ",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/product-4057/,https://www.tromilux.com/imagegen/client/files/0000000001/8383.jpg/400x400/1/,308
4057 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/4057-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8383.jpg/400x400/1/,308
4060,"Suspended luminaire of double profile for indoor application, with downward and upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser in opaline, prismatic or black version.
Incorporated driver. ",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/product-4060/,https://www.tromilux.com/imagegen/client/files/0000000001/8380.jpg/400x400/1/,308
4060 T5," Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/4060-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8380.jpg/400x400/1/,308
4060.S,"Suspended luminaire of double profile for indoor application, with downward and upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser in opaline, prismatic or black version.
Incorporated driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=4149,https://www.tromilux.com/imagegen/client/files/0000000001/9004.jpg/400x400/1/,308
4061,"Suspended luminaire of double profile for indoor application, with downward and upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser in opaline, prismatic or black version.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/product-4061/,https://www.tromilux.com/imagegen/client/files/0000000001/8381.jpg/400x400/1/,308
4061 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/interior-ceiling-pendant/4061-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8381.jpg/400x400/1/,308
