name,description,link_url,image_url,manufacturer_id
1099,"Painted aluminium luminaire with adjustable angle radiation.
Lamp and transformer included.",https://www.tromilux.com/en/products/indoor/product-1099/,https://www.tromilux.com/imagegen/client/files/0000000001/8500.jpg/400x400/1/,308
1195,"Luminaire in painted aluminium.
Lamp and transformer included.",https://www.tromilux.com/en/products/indoor/product-1195/,https://www.tromilux.com/imagegen/client/files/0000000001/3378.png/400x400/1/,308
1199.100,"Surface ceiling luminaire for indoor application with orientable light projection.
Galvanized steel plate body, painted.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-1199100/,https://www.tromilux.com/imagegen/client/files/0000000001/8063.jpg/400x400/1/,308
1199.200,"Surface ceiling luminaire for indoor application with orientable light projection.
Galvanized steel plate body, painted.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-1199200/,https://www.tromilux.com/imagegen/client/files/0000000001/8064.jpg/400x400/1/,308
1199.300,"Surface ceiling luminaire for indoor application with orientable light projection.
Galvanized steel plate body, painted.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-1199300/,https://www.tromilux.com/imagegen/client/files/0000000001/8065.jpg/400x400/1/,308
1199.400,"Surface ceiling luminaire for indoor application with orientable light projection.
Galvanized steel plate body, painted.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-1199400/,https://www.tromilux.com/imagegen/client/files/0000000001/8066.jpg/400x400/1/,308
4010,"Continuous light line without shadow for molding application in interior spaces, with upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Remote driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=4128,https://www.tromilux.com/imagegen/client/files/0000000001/8623.jpg/400x400/1/,308
4011,"Continuous light line without shadow for molding application in interior spaces, with upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser in opaline version. 
Incorporated driver.",https://www.tromilux.com/en/client/skins/geral.php?id=3760,https://www.tromilux.com/imagegen/client/files/0000000001/8526.jpg/400x400/1/,308
4012 | 4013,"Continuous light line without shadow for molding application in interior spaces, with upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser in opaline version.
Remote driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=3965,https://www.tromilux.com/imagegen/client/files/0000000001/8527.jpg/400x400/1/,308
4014,Continuous lines of light.,https://www.tromilux.com/en/products/indoor/product-4014/,https://www.tromilux.com/imagegen/client/files/0000000001/3470.png/400x400/1/,308
4015, Continuous lines of light.,https://www.tromilux.com/en/products/indoor/product-4015/,https://www.tromilux.com/imagegen/client/files/0000000001/3479.png/400x400/1/,308
4016,Continuous lines of light.,https://www.tromilux.com/en/products/indoor/product-4016/,https://www.tromilux.com/imagegen/client/files/0000000001/3484.png/400x400/1/,308
4017,"Continuous light line without shadow for molding application in interior spaces, with upward light projection.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4017/,https://www.tromilux.com/imagegen/client/files/0000000001/3496.png/400x400/1/,308
4018,"Waterlight surface ceiling luminaire for indoor application with downward light projection.
Polycarbonate body.
Polycarbonate diffuser in prismatic version.
Incorporated driver.",https://www.tromilux.com/en/client/skins/geral.php?id=3740,https://www.tromilux.com/imagegen/client/files/0000000001/8528.jpg/400x400/1/,308
4018 LED,"Waterlight surface ceiling luminaire for indoor application with downward light projection.
Polycarbonate body.
Polycarbonate diffuser in opaline version.
Incorporated driver.",https://www.tromilux.com/en/client/skins/geral.php?id=3896,https://www.tromilux.com/imagegen/client/files/0000000001/8529.jpg/400x400/1/,308
4019,"Waterlight surface ceiling luminaire for indoor application with downward light projection.
Polycarbonate body. Polycarbonate diffuser in opaline version. Incorporated driver.",https://www.tromilux.com/en/client/skins/geral.php?id=4159,https://www.tromilux.com/imagegen/client/files/0000000001/9241.png/400x400/1/,308
4040,Assymetrical optical system.,https://www.tromilux.com/en/products/indoor/product-4040/,https://www.tromilux.com/imagegen/client/files/0000000001/3540.png/400x400/1/,308
4041,"Surface ceiling luminaire for indoor application, with downward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser.
Incorporated driver.
Possibility of adding curved profiles, as well as different modular accessories. ",https://www.tromilux.com/en/products/indoor/product-4041/,https://www.tromilux.com/imagegen/client/files/0000000001/8515.jpg/400x400/1/,308
4041 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/4041-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8515.jpg/400x400/1/,308
4041.S,"Surface ceiling luminaire for indoor application, with downward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser.
Incorporated driver.
Possibility of adding curved profiles, as well as different modular accessories. ",https://www.tromilux.com/en/client/skins/geral.php?id=4145,https://www.tromilux.com/imagegen/client/files/0000000001/8988.jpg/400x400/1/,308
4042,,https://www.tromilux.com/en/products/indoor/product-4042/,https://www.tromilux.com/imagegen/client/files/0000000001/8516.jpg/400x400/1/,308
4042 T5,,https://www.tromilux.com/en/products/indoor/4042-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8516.jpg/400x400/1/,308
4043,,https://www.tromilux.com/en/products/indoor/product-4043/,https://www.tromilux.com/imagegen/client/files/0000000001/8517.jpg/400x400/1/,308
4043 T5,,https://www.tromilux.com/en/products/indoor/4043-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8517.jpg/400x400/1/,308
4046,,https://www.tromilux.com/en/client/skins/geral.php?id=3898,https://www.tromilux.com/imagegen/client/files/0000000001/8514.jpg/400x400/1/,308
4064,,https://www.tromilux.com/en/client/skins/geral.php?id=3937,https://www.tromilux.com/imagegen/client/files/0000000001/8347.jpg/400x400/1/,308
4066,,https://www.tromilux.com/en/client/skins/geral.php?id=3913,https://www.tromilux.com/imagegen/client/files/0000000001/8349.jpg/400x400/1/,308
4068,,https://www.tromilux.com/en/client/skins/geral.php?id=3938,https://www.tromilux.com/imagegen/client/files/0000000001/8348.jpg/400x400/1/,308
4070,,https://www.tromilux.com/en/client/skins/geral.php?id=3940,https://www.tromilux.com/imagegen/client/files/0000000001/8350.jpg/400x400/1/,308
4512,,https://www.tromilux.com/en/client/skins/geral.php?id=3874,https://www.tromilux.com/imagegen/client/files/0000000001/8397.jpg/400x400/1/,308
4515,,https://www.tromilux.com/en/client/skins/geral.php?id=3875,https://www.tromilux.com/imagegen/client/files/0000000001/8408.jpg/400x400/1/,308
4516,,https://www.tromilux.com/en/client/skins/geral.php?id=3876,https://www.tromilux.com/imagegen/client/files/0000000001/8409.jpg/400x400/1/,308
