name,description,link_url,image_url,manufacturer_id
1193.100,"Orientable surface projector, ceilling or wall mounted.
Extruded aluminium body, shaped by CNC.
Driver included.",https://www.tromilux.com/en/products/indoor/product-1193100/,https://www.tromilux.com/imagegen/client/files/0000000001/5439.jpg/400x400/1/,308
1193.200,"Orientable surface projector, ceilling or wall mounted.
Extruded aluminium body, shaped by CNC.
Driver included.",https://www.tromilux.com/en/products/indoor/product-1193200/,https://www.tromilux.com/imagegen/client/files/0000000001/5441.jpg/400x400/1/,308
1193.300,"Orientable surface projector, ceilling or wall mounted.
Extruded aluminium body, shaped by CNC.
Driver included.",https://www.tromilux.com/en/products/indoor/product-1193300/,https://www.tromilux.com/imagegen/client/files/0000000001/5443.jpg/400x400/1/,308
1194.100,"Orientable surface projector, ceilling or wall mounted.
Extruded aluminium body, shaped by CNC.
Driver included.",https://www.tromilux.com/en/products/indoor/product-1194100/,https://www.tromilux.com/imagegen/client/files/0000000001/5445.jpg/400x400/1/,308
1194.200,"Orientable surface projector, ceilling or wall mounted.
Extruded aluminium body, shaped by CNC.
Driver included.",https://www.tromilux.com/en/products/indoor/product-1194200/,https://www.tromilux.com/imagegen/client/files/0000000001/5447.jpg/400x400/1/,308
1194.300,"Orientable surface projector, ceilling or wall mounted.
Extruded aluminium body, shaped by CNC.
Driver included.",https://www.tromilux.com/en/products/indoor/product-1194300/,https://www.tromilux.com/imagegen/client/files/0000000001/5449.jpg/400x400/1/,308
4001,"Wall surface luminaire for indoor application, with downward and upward light projection.
Body in brushed stainless steel or in painted aluminium.
Diffuser in opaline acrylic.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4001/,https://www.tromilux.com/imagegen/client/files/0000000001/8077.jpg/400x400/1/,308
4002,"Wall surface luminaire for indoor application, with upward light projection.
Body in stainless steel, brushed or painted.
Diffuser in opaline acrylic.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4002/,https://www.tromilux.com/imagegen/client/files/0000000001/8573.jpg/400x400/1/,308
4004,"Wall surface luminaire for indoor application, with downward and upward light projection.
Body in stainless steel, brushed or painted.
Diffuser in opaline acrylic.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4004/,https://www.tromilux.com/imagegen/client/files/0000000001/8074.jpg/400x400/1/,308
4005,"Wall surface luminaire for indoor application, with upward light projection.
Body in stainless steel, brushed or painted.
Diffuser in opaline acrylic.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4005/,https://www.tromilux.com/imagegen/client/files/0000000001/8073.jpg/400x400/1/,308
4006,"Wall surface luminaire for indoor application, with upward light projection.
Body in stainless steel, brushed or painted.
Diffuser in opaline acrylic.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4006/,https://www.tromilux.com/imagegen/client/files/0000000001/8070.jpg/400x400/1/,308
4007,"Wall surface luminaire for indoor application, with upward light projection.
Body in stainless steel, brushed or painted.
Diffuser in opaline acrylic.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4007/,https://www.tromilux.com/imagegen/client/files/0000000001/8071.jpg/400x400/1/,308
4008,"Wall surface luminaire for indoor application, with upward light projection.
Body in stainless steel, brushed or painted.
Diffuser in opaline acrylic.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4008/,https://www.tromilux.com/imagegen/client/files/0000000001/8072.jpg/400x400/1/,308
4009,"Wall surface luminaire for indoor application, with downward and upward light projection.
Body in stainless steel, brushed or painted.
Tempered glass.",https://www.tromilux.com/en/client/skins/geral.php?id=4076,https://www.tromilux.com/imagegen/client/files/0000000001/8075.jpg/400x400/1/,308
4020,"Wall surface luminaire for indoor application, with downward and upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Opaline diffuser.
Incorporated driver.
 ",https://www.tromilux.com/en/products/indoor/product-4020/,https://www.tromilux.com/imagegen/client/files/0000000001/8525.jpg/400x400/1/,308
4021,"Wall surface luminaire for indoor application, with downward or upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser in opaline, prismatic or black version.
Incorporated driver. ",https://www.tromilux.com/en/products/indoor/product-4021/,https://www.tromilux.com/imagegen/client/files/0000000001/8520.jpg/400x400/1/,308
4021 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/products/indoor/4021-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8520.jpg/400x400/1/,308
4021.S,"Wall surface luminaire for indoor application, with downward or upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser in opaline, prismatic or black version.
Incorporated driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=4152,https://www.tromilux.com/imagegen/client/files/0000000001/9016.jpg/400x400/1/,308
4022,"Wall surface luminaire for indoor application, with downward or upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser in opaline, prismatic or black version.
Incorporated driver. ",https://www.tromilux.com/en/products/indoor/product-4022/,https://www.tromilux.com/imagegen/client/files/0000000001/8521.jpg/400x400/1/,308
4022 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.

 ",https://www.tromilux.com/en/products/indoor/4022-t5/,https://www.tromilux.com/imagegen/client/files/0000000001/8521.jpg/400x400/1/,308
4023,"Wall surface luminaire for indoor application, with downward or upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser in opaline or prismatic version.
Incorporated driver.
 ",https://www.tromilux.com/en/client/skins/geral.php?id=3790,https://www.tromilux.com/imagegen/client/files/0000000001/8522.jpg/400x400/1/,308
4023 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.",https://www.tromilux.com/en/client/skins/geral.php?id=3743,https://www.tromilux.com/imagegen/client/files/0000000001/8522.jpg/400x400/1/,308
4024,"Wall surface luminaire for indoor application, with downward and upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarbonate diffuser in opaline, prismatic or black version.
Incorporated driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=3791,https://www.tromilux.com/imagegen/client/files/0000000001/8524.jpg/400x400/1/,308
4024 T5,"Luminaire in extruded aluminium.
Polycarbonate diffuser.
Downward and upward light projection.
 ",https://www.tromilux.com/en/client/skins/geral.php?id=3742,https://www.tromilux.com/imagegen/client/files/0000000001/8524.jpg/400x400/1/,308
4064,"Surface tubular luminaire for ceiling or wall application.
Downward light projection.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4064/,https://www.tromilux.com/imagegen/client/files/0000000001/8347.jpg/400x400/1/,308
4066,"Surface tubular luminaire for ceiling or wall application.
Downward light projection.
Incorporated driver.",https://www.tromilux.com/en/client/skins/geral.php?id=3939,https://www.tromilux.com/imagegen/client/files/0000000001/8349.jpg/400x400/1/,308
4068,"Surface tubular luminaire for ceiling or wall application.
Downward light projection.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4068/,https://www.tromilux.com/imagegen/client/files/0000000001/8348.jpg/400x400/1/,308
4070,"Surface tubular luminaire for ceiling or wall application.
Downward light projection.
Incorporated driver.",https://www.tromilux.com/en/products/indoor/product-4070/,https://www.tromilux.com/imagegen/client/files/0000000001/8350.jpg/400x400/1/,308
4520 | 4521,"Wall surface luminaire for indoor application, with downward or upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarboate diffuser in opal or black version.
Remote driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=3964,https://www.tromilux.com/imagegen/client/files/0000000001/8518.jpg/400x400/1/,308
4520.S | 4521.S,"Wall surface luminaire for indoor application, with downward or upward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Polycarboate diffuser in opal or black version.
Remote driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=4157,https://www.tromilux.com/imagegen/client/files/0000000001/9037.jpg/400x400/1/,308
