name,description,link_url,image_url,manufacturer_id
5080,"Projector for indoor rail application, with orientable light projection.
Aluminum body with the possibility of painting in different colors. 
 ",https://www.tromilux.com/en/client/skins/geral.php?id=3960,https://www.tromilux.com/imagegen/client/files/0000000001/7899.jpg/400x400/1/,308
5081,"Three-phase track projector for indoor application, with orientable light projection.
Aluminum body with the possibility of painting in different colors. ",https://www.tromilux.com/en/client/skins/geral.php?id=3975,https://www.tromilux.com/imagegen/client/files/0000000001/7900.jpg/400x400/1/,308
5082,"Projector for indoor rail application, with orientable light projection.
Aluminum body with the possibility of painting in different colors.
 ",https://www.tromilux.com/en/client/skins/geral.php?id=3980,https://www.tromilux.com/imagegen/client/files/0000000001/7905.jpg/400x400/1/,308
5083,"Projector for indoor rail application, with orientable light projection.
Aluminum body with the possibility of painting in different colors. ",https://www.tromilux.com/en/client/skins/geral.php?id=3981,https://www.tromilux.com/imagegen/client/files/0000000001/7906.jpg/400x400/1/,308
5084.E,False ceiling recessed rail with the possibility of painting in different colors. ,https://www.tromilux.com/en/products/indoor/spotlights-tracks/5084e/,https://www.tromilux.com/imagegen/client/files/0000000001/8422.jpg/400x400/1/,308
5084.S,Surface mounted or suspended rail with the possibility of painting in different colors. ,https://www.tromilux.com/en/products/indoor/spotlights-tracks/product-5084s/,https://www.tromilux.com/imagegen/client/files/0000000001/8423.jpg/400x400/1/,308
5085,"Projector for indoor rail application, with orientable light projection.
Aluminum body with the possibility of painting in different colors. ",https://www.tromilux.com/en/client/skins/geral.php?id=3977,https://www.tromilux.com/imagegen/client/files/0000000001/8447.jpg/400x400/1/,308
5086,"Projector for indoor rail application, with orientable light projection.
Aluminum body with the possibility of painting in different colors.
Incorporated driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=3978,https://www.tromilux.com/imagegen/client/files/0000000001/7903.jpg/400x400/1/,308
5087,"Projector for indoor rail application, with orientable light projection.
Aluminum body with the possibility of painting in different colors.
Incorporated driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=3979,https://www.tromilux.com/imagegen/client/files/0000000001/7904.jpg/400x400/1/,308
5088,"Projector for indoor rail application, with orientable light projection.
Aluminum body with the possibility of painting in different colors.
Incorporated driver. ",https://www.tromilux.com/en/client/skins/geral.php?id=3976,https://www.tromilux.com/imagegen/client/files/0000000001/7901.jpg/400x400/1/,308
5096,"Projector for indoor rail application, with downward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Opaline or transparent polycarbonate diffuser. 
Incorporated driver.",https://www.tromilux.com/en/client/skins/geral.php?id=3951,https://www.tromilux.com/imagegen/client/files/0000000001/8421.jpg/400x400/1/,308
5097,"Projector for indoor rail application, with downward light projection.
Opaline diffuser. 
Incorporated driver.",https://www.tromilux.com/en/client/skins/geral.php?id=3753,https://www.tromilux.com/imagegen/client/files/0000000001/8262.jpg/400x400/1/,308
5098,"Projector for indoor rail application, with downward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Opaline or transparent polycarbonate diffuser. 
Incorporated driver.",https://www.tromilux.com/en/client/skins/geral.php?id=3754,https://www.tromilux.com/imagegen/client/files/0000000001/8420.jpg/400x400/1/,308
5099,"Projector for indoor rail application, with downward light projection.
Extruded aluminum body with the possibility of painting in different colors.
Opaline or transparent polycarbonate diffuser. 
Incorporated driver.",https://www.tromilux.com/en/products/indoor/spotlights-tracks/product-5099/,https://www.tromilux.com/imagegen/client/files/0000000001/8424.jpg/400x400/1/,308
