name,description,link_url,image_url,manufacturer_id
PRK,"The PRK from Visionaire Lighting utilizes the latest in edge-lit technology, providing a well-lit environment without the intensity often associated with LED fixtures.  Ideal for parking garages, the lumen package ranges from 3,000 to 15,000, in a variety of optical distributions that include T1 for drive lanes, or T5LS for maximum spacing between fixtures.",https://visionairelighting.com/products/prk/,"['https://visionairelighting.com/wp-content/uploads/2021/10/Ceiling-Mount.png', 'https://visionairelighting.com/wp-content/uploads/2021/10/Low-Profile-Mount.png', 'https://visionairelighting.com/wp-content/uploads/2021/10/Trunnion-Mount.png', 'https://visionairelighting.com/wp-content/uploads/2021/10/Pendant-gallery.png', 'https://visionairelighting.com/wp-content/uploads/2021/10/PRK-Main.png', 'https://visionairelighting.com/wp-content/uploads/2021/10/Cage-PRK-Gallery-1.png', 'https://visionairelighting.com/wp-content/uploads/2021/10/VWC-Gallery-PRK-1.png']",159
Lusso Sconce,"The Lusso Collection from Visionaire Lighting can elegantly compliment the daytime architecture of your space, while providing nighttime illumination that is up to task and equally as elegant. The collection consists of a wall sconce, bollard, single or twin arm post top and a beautiful pole mount. Available in two housings sizes and lumen packages up to 55,000 lumens thanks to our performance ARRAY LED platform. Scale and design creativity has no limits for any application.",https://visionairelighting.com/products/lusso-sconce/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2019/12/Lussco-Sconce-Optical-Assembly.jpg', 'https://visionairelighting.com/wp-content/uploads/2019/10/Lusso-Sconce-Gallery-1.png']",159
VMS,,https://visionairelighting.com/products/vms/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2019/08/VSC-II-Optical-Summary.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/05/vms-array-1.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMS-Gallery-1.png']",159
VSC II,VSC-II – part of our V-Collection is a high performance architectural LED luminaire to be used in outdoor lighting applications. Sleek design takes advantage of the low profile LED lamp technology. Superior thermal management allows for maximum LPW output.,https://visionairelighting.com/products/vsc-ii/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2019/08/VSC-Optical-Summary.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vsconce_prod_img_web_v03.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vsconce_prod_img_web_v04.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vsconce_prod_img_web_v02.jpg', 'https://visionairelighting.com/wp-content/uploads/2019/08/NORMAL-abajo.png', 'https://visionairelighting.com/wp-content/uploads/2019/08/NORMAL-por-arriba.png']",159
PGRS-2,"The PGRS-2 – part of our PG-Collection, is a high-performance architectural LED wall sconce with the flexibility to be used on all outdoor lighting applications. Its traditional design takes advantage of the low profile LED technology and superior thermal management allows for an L70 of 100,000+ hours. Combining specification grade performance optics and industry-leading LED technology, the PGRS-2 has over 120+lumens per watt and qualifies for DLC listings. With three different IES light distribution patterns and cast aluminum construction that provides years of reliable operation, the PGRS-2 is ideal for any site.",https://visionairelighting.com/products/pgrs-2/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/PGRS-2-O.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/PGRS-2-Gallery-1.png']",159
PGRS-1,"The PGRS-1 – part of our PG-Collection, is a high-performance architectural LED wall sconce with the flexibility to be used on all outdoor lighting applications. Its traditional design takes advantage of the low profile LED technology and superior thermal management allows for an L70 of 100,000+ hours. Combining specification grade performance optics and industry-leading LED technology, the PGAS-1 has over 120+lumens per watt and qualifies for DLC listings. With three different IES light distribution patterns and cast aluminum construction that provides years of reliable operation, the PGRS-1 is ideal for any site.",https://visionairelighting.com/products/pgrs-1/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/PGRS-1-O.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/PGRS-1-Gallery-1.png']",159
PGAS-2,"The PGAS-2 – part of our PG-Collection, is a high-performance architectural LED wall sconce with the flexibility to be used on all outdoor lighting applications. Its traditional design takes advantage of the low profile LED technology and superior thermal management allows for an L70 of 100,000+ hours. Combining specification grade performance optics and industry-leading LED technology, the PGAS-2 has over 120+ lumens per watt and qualifies for DLC listings. With three different IES light distribution patterns and cast aluminum construction that provides years of reliable operation, the PGAS-2 is ideal for any site.",https://visionairelighting.com/products/pgas-2/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/PGAS2-O.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/PGAS-2-Gallery-1.png']",159
PGAS-1,"The PGAS-1 – part of our PG-Collection, is a high-performance architectural LED wall sconce with the flexibility to be used on all outdoor lighting applications. Its traditional design takes advantage of the low profile LED technology and superior thermal management allows for an L70 of 100,000+ hours. Combining specification grade performance optics and industry-leading LED technology, the PGAS-1 has over 120+lumens per watt and qualifies for DLC listings. With three different IES light distribution patterns and cast aluminum construction that provides years of reliable operation, the PGAS-1 is ideal for any site.",https://visionairelighting.com/products/pgas-1/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/PGAS1-O.png', 'https://visionairelighting.com/wp-content/uploads/2019/08/PGAS-1-Gallery-1.png']",159
Premier Sconce, ,https://visionairelighting.com/products/premier-sconce/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/PREM-SC-O.png', 'https://visionairelighting.com/wp-content/uploads/2020/05/Premier-Wall-Sconce-gallery-1.png']",159
Oden Array Sconce," The Oden Array Sconce offers architectural styling for wall mounted applications, while complimenting the Oden series of lighting products. The unique design comes in 2 sizes and captures the rustic look and feel of the Southwest.",https://visionairelighting.com/products/oden-array-sconce/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/ODEN-AR-O.png']",159
